"EG04_004 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG04_004.tcf]","Time (h)","Q ds1 [EG04_004]","Q ds2 [EG04_004]","Q ds3 [EG04_004]","Q ds4 [EG04_004]","Q ds5 [EG04_004]","Q ds6 [EG04_004]","Q FC01.01 [EG04_004]","Q FC01.02 [EG04_004]","Q FC01.03 [EG04_004]","Q FC01.04 [EG04_004]","Q FC01.05 [EG04_004]","Q FC01.06 [EG04_004]","Q FC01.07 [EG04_004]","Q FC01.08 [EG04_004]","Q FC01.09 [EG04_004]","Q FC01.12 [EG04_004]","Q FC01.13 [EG04_004]","Q FC01.14 [EG04_004]","Q FC01.15 [EG04_004]","Q FC01.16 [EG04_004]","Q FC01.17 [EG04_004]","Q FC01.18 [EG04_004]","Q FC01.19 [EG04_004]","Q FC01.1_R [EG04_004]","Q FC01.20 [EG04_004]","Q FC01.21 [EG04_004]","Q FC01.22 [EG04_004]","Q FC01.23 [EG04_004]","Q FC01.24 [EG04_004]","Q FC01.25 [EG04_004]","Q FC01.26 [EG04_004]","Q FC01.27 [EG04_004]","Q FC01.28A [EG04_004]","Q FC01.28B [EG04_004]","Q FC01.29 [EG04_004]","Q FC01.2_R [EG04_004]","Q FC01.30 [EG04_004]","Q FC01.31 [EG04_004]","Q FC01.32 [EG04_004]","Q FC01.33 [EG04_004]","Q FC01.34 [EG04_004]","Q FC01.36 [EG04_004]","Q FC01.37 [EG04_004]","Q FC01.38 [EG04_004]","Q FC01.39 [EG04_004]","Q FC01.40 [EG04_004]","Q FC02.01 [EG04_004]","Q FC02.02 [EG04_004]","Q FC02.03 [EG04_004]","Q FC02.04 [EG04_004]","Q FC02.05 [EG04_004]","Q FC02.06 [EG04_004]","Q FC_weir1 [EG04_004]","Q RD_weir [EG04_004]"
       1,          0.000000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
       2,          0.016667,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.001,           0.020,           0.000,           0.000,           0.000,           0.000,           0.000,           0.001,           0.000,           0.000
       3,          0.033333,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.011,           0.155,           0.000,           0.000,           0.000,           0.000,           0.000,           0.007,           0.000,           0.000
       4,          0.050000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.001,           0.045,           0.425,           0.000,           0.000,           0.000,           0.000,           0.001,           0.023,           0.000,           0.000
       5,          0.066667,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.004,           0.122,           0.635,           0.000,           0.000,           0.000,           0.000,           0.005,           0.053,           0.000,           0.000
       6,          0.083333,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.018,           0.254,           0.837,           0.000,           0.000,           0.000,           0.000,           0.013,           0.086,           0.000,           0.000
       7,          0.100000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.001,           0.061,           0.445,           1.159,           0.000,           0.000,           0.000,           0.000,           0.028,           0.131,           0.000,           0.000
       8,          0.116667,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.007,           0.176,           0.738,           1.614,           0.000,           0.000,           0.000,           0.000,           0.059,           0.183,           0.000,           0.000
       9,          0.133333,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.001,           0.036,           0.419,           1.168,           2.122,           0.000,           0.000,           0.000,           0.000,           0.098,           0.232,           0.000,           0.000
      10,          0.150000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.009,           0.189,           0.864,           1.702,           2.618,           0.000,           0.000,           0.000,           0.000,           0.116,           0.280,           0.000,           0.000
      11,          0.166667,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.097,           0.680,           1.435,           2.262,           3.080,           0.000,           0.000,           0.000,           0.000,           0.112,           0.330,           0.000,           0.000
      12,          0.183333,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.078,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.627,           1.382,           1.986,           2.799,           3.467,           0.000,           0.000,           0.000,           0.000,           0.097,           0.317,           0.000,           0.000
      13,          0.200000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           1.112,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.799,           1.331,           1.946,           2.515,           3.256,           3.736,           0.000,           0.000,           0.000,           0.000,           0.105,           0.340,           0.000,           0.000
      14,          0.216667,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           1.847,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.881,           2.001,           2.437,           2.973,           3.613,           3.974,           0.000,           0.000,           0.000,           0.000,           0.108,           0.444,           0.000,           0.000
      15,          0.233333,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           2.446,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.015,           0.365,           0.000,           1.928,           2.566,           2.899,           3.347,           3.905,           4.220,           0.000,           0.000,           0.000,           0.000,           0.112,           0.291,           0.863,           0.000
      16,          0.250000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           2.944,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.003,           0.000,           0.281,           1.694,           2.288,           0.000,           2.793,           3.040,           3.302,           3.672,           4.168,           4.482,           0.000,           0.000,           0.000,           0.000,           0.114,           0.369,           2.469,           0.000
      17,          0.266667,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           3.364,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.031,           0.747,           0.000,           2.526,           2.789,           3.044,           0.000,           3.279,           3.443,           3.660,           3.979,           4.448,           4.870,           0.000,           0.000,           0.000,           0.000,           0.137,           0.466,           3.123,           0.000
      18,          0.283333,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           3.734,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.006,           0.217,           1.539,           2.651,           0.000,           2.982,           3.300,           3.488,           0.000,           3.665,           3.807,           4.005,           4.314,           4.815,           5.382,           0.000,           0.000,           0.000,           0.000,           0.150,           0.521,           3.546,           0.000
      19,          0.300000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           4.102,           0.000,           0.000,           0.000,           0.000,           0.000,           0.003,           0.286,           1.689,           2.383,           2.859,           3.224,           0.000,           3.495,           3.718,           3.869,           0.000,           4.033,           4.177,           4.382,           4.712,           5.269,           5.920,           0.000,           0.000,           0.000,           0.000,           0.161,           0.572,           3.920,           0.000
      20,          0.316667,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           4.504,           0.000,           0.000,           0.001,           0.011,           0.544,           1.932,           2.909,           3.012,           3.188,           3.440,           3.688,           0.000,           3.919,           4.115,           4.259,           0.000,           4.428,           4.586,           4.809,           5.169,           5.775,           6.449,          -0.000,           0.000,           0.000,           0.000,           0.173,           0.622,           4.309,           0.000
      21,          0.333333,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           4.954,           0.000,           0.000,           1.300,           1.969,           3.170,           3.240,           3.484,           3.616,           3.734,           3.919,           4.127,           0.000,           4.346,           4.540,           4.687,           0.000,           4.871,           5.044,           5.281,           5.664,           6.298,           6.980,          -0.870,           0.000,           0.000,           0.000,           0.186,           0.675,           4.740,           0.000
      22,          0.350000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           5.446,           0.055,           1.233,           2.658,           2.627,           3.776,           3.838,           3.997,           4.109,           4.213,           4.384,           4.584,           0.000,           4.807,           5.006,           5.161,           0.000,           5.355,           5.542,           5.794,           6.204,           6.916,           7.830,          -0.691,          -0.117,           0.000,           0.000,           0.210,           0.762,           5.217,           0.000
      23,          0.366667,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.006,           0.173,           5.998,           1.141,           2.269,           3.459,           3.678,           4.266,           4.349,           4.488,           4.596,           4.698,           4.869,           5.073,           0.000,           5.306,           5.515,           5.681,           0.000,           5.895,           6.110,           6.400,           6.883,           7.741,           8.854,          -0.408,          -0.173,           0.000,           0.000,           0.233,           0.856,           5.742,           0.000
      24,          0.383333,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.047,           0.894,           2.232,           6.669,           2.552,           3.390,           4.177,           4.460,           4.776,           4.859,           4.999,           5.109,           5.215,           5.395,           5.613,           0.000,           5.870,           6.104,           6.292,           0.000,           6.544,           6.804,           7.148,           7.717,           8.706,           9.887,          -0.183,          -0.046,           0.000,           0.000,           0.257,           0.952,           6.362,           0.000
      25,          0.400000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.002,           0.077,           1.082,           2.415,           3.242,           7.479,           3.709,           4.225,           4.735,           4.956,           5.325,           5.410,           5.561,           5.683,           5.800,           6.002,           6.250,           0.000,           6.546,           6.818,           7.037,           0.000,           7.332,           7.636,           8.022,           8.655,           9.728,          10.899,          -0.226,          -0.068,           0.000,           0.000,           0.280,           1.047,           7.119,           0.000
      26,          0.416667,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.002,           0.061,           0.810,           2.549,           3.330,           4.010,           8.398,           4.654,           4.998,           5.342,           5.507,           5.952,           6.049,           6.221,           6.360,           6.495,           6.727,           7.014,           0.000,           7.355,           7.664,           7.910,           0.000,           8.235,           8.567,           8.977,           9.641,          10.750,          11.894,          -0.282,          -0.097,           0.000,           0.000,           0.304,           1.142,           8.002,           0.000
      27,          0.433333,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.004,           0.100,           0.780,           2.409,           3.446,           4.135,           4.733,           9.385,           5.332,           5.678,           6.016,           6.180,           6.700,           6.811,           7.008,           7.166,           7.318,           7.577,           7.897,           0.000,           8.272,           8.608,           8.872,           0.000,           9.214,           9.561,           9.985,          10.678,          11.878,          13.377,          -0.338,          -0.130,          -0.009,           0.000,           0.344,           1.296,           8.971,           0.000
      28,          0.450000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.006,           0.168,           1.319,           2.325,           3.352,           4.258,           4.874,           5.409,          10.453,           5.966,           6.384,           6.781,           6.972,           7.577,           7.700,           7.914,           8.083,           8.245,           8.517,           8.854,           0.000,           9.268,           9.620,           9.900,           0.000,          10.263,          10.656,          11.166,          12.026,          13.552,          15.529,          -0.396,          -0.154,          -0.013,           0.000,           0.396,           1.502,          10.004,           0.000
      29,          0.466667,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.014,           0.359,           1.582,           2.836,           3.398,           4.171,           4.997,           5.603,           6.127,          11.795,           6.686,           7.174,           7.632,           7.851,           8.546,           8.673,           8.892,           9.064,           9.226,           9.500,           9.860,           0.193,          10.319,          10.690,          10.989,           0.000,          11.558,          12.054,          12.727,          13.791,          15.607,          17.722,          -0.460,          -0.186,          -0.023,           0.000,           0.451,           1.710,          11.238,           0.000
      30,          0.483333,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.001,           0.045,           0.429,           2.432,           3.324,           3.906,           4.358,           5.043,           5.817,           6.418,           6.938,          13.431,           7.503,           8.046,           8.552,           8.793,           9.566,           9.698,           9.919,          10.095,          10.261,          10.552,          10.972,           2.013,          11.540,          11.982,          12.333,           0.000,          13.156,          13.730,          14.550,          15.768,          17.759,          19.878,          -0.518,          -0.218,          -0.032,           0.000,           0.500,           1.918,          12.782,           0.000
      31,          0.500000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.021,           0.415,           1.071,           2.305,           4.540,           4.315,           4.941,           5.356,           5.984,           6.727,           7.326,           7.843,          15.268,           8.409,           8.992,           9.532,           9.792,          10.668,          10.814,          11.055,          11.247,          11.430,          11.759,          12.283,           3.712,          12.993,          13.542,          13.967,           0.000,          14.971,          15.595,          16.570,          17.884,          19.929,          22.020,          -0.594,          -0.257,          -0.041,           0.000,           0.544,           2.126,          14.564,           0.000
      32,          0.516667,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.046,           0.806,           2.495,           3.490,           4.393,           5.219,           5.383,           5.949,           6.366,           6.991,           7.734,           8.336,           8.854,          17.281,           9.428,          10.052,          10.632,          10.915,          11.937,          12.103,          12.377,          12.595,          12.803,          13.194,          13.859,           4.912,          14.710,          15.361,          15.848,           0.000,          16.951,          17.658,          18.850,          20.456,          23.354,          27.755,          -0.703,          -0.318,          -0.054,           0.000,           0.690,           2.719,          16.513,           0.000
      33,          0.533333,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.005,           0.097,           0.951,           3.084,           4.070,           4.849,           5.584,           6.207,           6.518,           7.066,           7.460,           8.082,           8.842,           9.469,          10.001,          20.124,          10.598,          11.277,          11.907,          12.216,          13.422,          13.611,          13.917,          14.161,          14.393,          14.864,          15.689,           5.976,          16.722,          17.536,          18.161,           0.000,          19.639,          20.765,          22.786,          25.345,          29.735,          35.367,          -0.841,          -0.397,          -0.072,           0.000,           0.890,           3.451,          19.007,           0.000
      34,          0.550000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.001,           0.130,           0.732,           1.594,           2.920,           4.160,           5.125,           5.897,           6.735,           7.284,           7.592,           8.282,           8.679,           9.319,          10.110,          10.772,          11.331,          24.495,          11.962,          12.704,          13.394,          13.738,          15.175,          15.402,          15.772,          16.070,          16.356,          17.005,          18.175,           7.062,          19.661,          20.807,          21.680,           0.000,          23.796,          25.834,          28.666,          31.960,          37.195,          42.856,          -1.015,          -0.501,          -0.094,           0.000,           1.116,           4.168,          22.852,           0.000
      35,          0.566667,           0.125,           0.001,           0.000,           0.000,           0.000,           0.000,           0.933,           1.954,           2.816,           3.480,           4.175,           5.257,           6.185,           6.941,           7.883,           8.449,           8.788,           9.603,          10.044,          10.732,          11.596,          12.320,          12.928,          29.602,          13.622,          14.480,          15.285,          15.699,          17.515,          17.816,          18.309,          18.703,          19.082,          20.051,          21.596,           8.200,          23.849,          25.288,          26.304,           0.000,          28.884,          32.355,          35.717,          39.309,          44.775,          50.278,          -1.252,          -0.509,           0.173,           0.341,           1.655,           4.883,          27.594,           0.000
      36,          0.583333,           1.860,           0.512,           0.015,           0.000,           0.000,           0.000,           3.036,           3.691,           4.260,           4.931,           5.569,           6.539,           7.401,           8.110,           9.082,           9.670,          10.074,          11.107,          11.655,          12.483,          13.573,          14.503,          15.276,          34.537,          16.161,          17.326,          18.415,          18.974,          20.317,          20.654,          21.090,          21.413,          21.720,          22.496,          23.606,           9.400,          28.811,          29.998,          30.924,           0.000,          33.765,          38.534,          43.000,          46.836,          52.334,          57.488,          -0.557,           0.405,           1.268,           1.576,           2.809,           5.571,          32.161,           0.000
      37,          0.600000,           4.032,           2.488,           0.491,           0.010,           0.000,           0.000,           4.696,           5.237,           5.712,           6.300,           6.923,           7.876,           8.752,           9.481,          10.632,          11.668,          12.073,          13.158,          13.794,          14.813,          16.359,          17.659,          18.513,          38.084,          19.510,          20.768,          21.931,          22.538,          22.510,          22.845,          23.210,          23.472,          23.740,          24.306,          25.038,          11.174,          33.368,          34.686,          35.380,           0.000,          37.574,          43.046,          49.379,          52.915,          57.990,          61.590,           0.826,           1.845,           2.759,           3.121,           4.004,           5.954,          36.350,           0.000
      38,          0.616667,           5.758,           4.924,           1.846,           0.169,           0.002,           0.000,           6.338,           6.819,           7.243,           7.778,           8.428,           9.476,          10.413,          11.175,          12.498,          13.822,          14.359,          15.575,          16.337,          17.520,          19.255,          21.077,          21.900,          40.661,          22.880,          24.060,          25.153,          25.697,          24.261,          24.563,          24.847,          25.037,          25.248,          25.480,          25.786,          13.216,          36.652,          38.056,          38.552,           0.000,          40.228,          44.395,          54.804,          57.917,          62.042,          65.350,           2.253,           3.208,           4.089,           4.441,           5.032,           6.315,          39.318,           0.000
      39,          0.633333,           7.512,           6.819,           4.286,           0.713,           0.042,           0.000,           8.014,           8.481,           8.874,           9.384,          10.123,          11.371,          12.425,          13.253,          14.846,          16.186,          17.128,          18.329,          19.142,          20.417,          21.643,          24.099,          25.101,          42.875,          25.840,          26.847,          27.919,          27.969,          25.538,          25.793,          26.020,          26.161,          26.304,          26.221,          26.291,          15.713,          39.220,          40.824,          41.212,           0.000,          42.549,          42.949,          58.350,          61.752,          66.006,          69.092,           3.500,           4.352,           5.108,           5.405,           5.811,           6.674,          41.839,           0.000
      40,          0.650000,           9.281,           8.478,           7.094,           2.058,           0.319,           0.000,           9.761,          10.385,          10.762,          11.245,          12.111,          13.528,          14.680,          15.578,          17.424,          19.116,          20.238,          21.585,          22.659,          24.250,          25.766,          28.059,          28.310,          44.667,          27.618,          28.190,          29.324,          29.187,          26.418,          26.669,          26.863,          26.973,          27.095,          26.778,          26.679,          18.395,          41.231,          43.024,          43.331,           0.000,          44.406,          41.452,          61.698,          65.205,          69.669,          72.845,           4.219,           5.127,           5.840,           6.113,           6.407,           7.034,          43.841,           0.000
      41,          0.666667,          10.886,          10.177,           9.099,           4.178,           1.093,           0.000,          11.548,          12.477,          12.899,          13.440,          14.483,          16.118,          17.474,          18.526,          20.788,          23.063,          24.550,          26.085,          27.255,          28.093,          27.432,          30.168,          30.861,          46.020,          29.190,          29.576,          30.485,          30.066,          27.076,          27.319,          27.501,          27.596,          27.697,          27.187,          26.991,          22.130,          42.802,          44.775,          45.013,           0.000,          45.833,          38.650,          63.653,          69.187,          73.468,          76.583,           4.849,           5.724,           6.403,           6.666,           6.899,           7.395,          45.405,           0.000
      42,          0.683333,          12.777,          11.968,          10.519,           6.511,           2.563,           0.000,          13.833,          14.976,          15.491,          16.160,          17.455,          19.407,          21.019,          22.238,          24.852,          27.280,          29.239,          30.716,          31.901,          31.288,          28.272,          31.635,          33.014,          47.517,          30.485,          30.975,          31.575,          30.852,          27.633,          27.833,          27.992,          28.069,          28.147,          27.489,          27.214,          26.293,          44.042,          46.206,          46.442,           0.000,          47.293,          39.156,          64.685,          71.489,          77.006,          79.276,           5.384,           6.316,           6.890,           7.113,           7.286,           7.650,          46.842,           0.000
      43,          0.700000,          15.080,          14.136,          12.253,           8.277,           5.102,           0.000,          16.800,          18.100,          18.706,          19.510,          21.026,          23.254,          25.051,          26.376,          29.146,          31.125,          33.915,          35.265,          36.355,          33.396,          28.967,          32.858,          34.935,          48.936,          31.354,          32.140,          32.442,          31.496,          28.056,          28.238,          28.383,          28.456,          28.531,          27.780,          27.468,          30.674,          45.345,          47.738,          47.960,           0.000,          48.748,          37.101,          61.544,          71.730,          78.688,          81.288,           5.879,           6.738,           7.241,           7.439,           7.568,           7.841,          48.335,           0.000
      44,          0.716667,          18.704,          17.117,          14.578,           9.982,           8.439,           0.000,          20.435,          21.790,          22.457,          23.376,          25.067,          27.427,          29.211,          30.499,          33.109,          34.246,          38.051,          39.175,          40.170,          35.123,          29.490,          33.958,          36.601,          50.169,          32.196,          33.222,          33.150,          32.078,          28.471,          28.617,          28.749,          28.822,          28.893,          28.033,          27.696,          34.827,          46.528,          49.123,          49.327,           0.000,          50.068,          35.929,          58.504,          71.429,          80.169,          83.249,           6.261,           7.111,           7.529,           7.699,           7.802,           8.029,          49.677,           0.123
      45,          0.733333,          22.401,          20.752,          17.766,          12.024,          10.491,           1.152,          24.592,          25.880,          26.532,          27.437,          29.110,          31.353,          33.071,          34.298,          36.724,          36.895,          41.911,          43.019,          43.455,          36.102,          30.058,          34.711,          37.863,          51.139,          32.784,          34.006,          33.686,          32.503,          28.835,          28.970,          29.099,          29.170,          29.253,          28.324,          28.059,          38.620,          48.383,          51.674,          52.255,           0.000,          54.217,          37.310,          56.435,          71.238,          81.795,          85.212,           6.508,           7.412,           7.778,           7.923,           8.019,           8.219,          53.219,           2.679
      46,          0.750000,          26.588,          24.609,          21.378,          14.845,          12.438,           3.122,          28.718,          29.980,          30.597,          31.478,          33.028,          35.094,          36.659,          37.765,          39.938,          39.293,          45.184,          45.981,          45.708,          36.947,          30.775,          35.835,          39.564,          51.819,          33.635,          34.919,          34.324,          33.085,          29.388,          29.523,          29.689,          29.808,          29.956,          28.963,          28.934,          42.139,          52.831,          57.851,          59.054,           0.000,          63.245,          39.891,          56.447,          71.994,          83.946,          87.167,           6.745,           7.655,           7.996,           8.131,           8.218,           8.409,          61.416,           5.645
