"EG15_002 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_002.tcf]","Node ID","Hmax","Time Hmax"
     1,"FC01.1_R.1",     49.8577,      0.9480
     2,"FC01.1_R.2",     47.3962,      0.9562
     3,"FC01.2_R.1",     42.7854,      1.2480
     4,"FC01.2_R.2",     40.7782,      1.2568
     5,"FC04.1_C.1",     43.6683,      0.6815
     6,"FC04.1_C.2",     43.0758,      1.2267
     7,"Pipe16.2",     43.5794,      3.0001
     8,"Pit1",     43.5799,      3.0001
     9,"Pit1.1",     43.5799,      3.0001
    10,"Pit10",     43.5799,      3.0000
    11,"Pit10.1",     43.5799,      3.0001
    12,"Pit11",     43.5799,      3.0001
    13,"Pit11.1",     43.5799,      3.0001
    14,"Pit12",     43.5799,      2.9984
    15,"Pit12.1",     43.5799,      2.9984
    16,"Pit13",     43.5799,      2.9996
    17,"Pit13.1",     43.5799,      3.0001
    18,"Pit14",     43.5799,      3.0001
    19,"Pit14.1",     43.5799,      3.0001
    20,"Pit15",     43.5799,      3.0001
    21,"Pit15.1",     43.5799,      3.0001
    22,"Pit16",     43.5799,      3.0000
    23,"Pit16.1",     43.5799,      3.0001
    24,"Pit17",     43.5799,      3.0001
    25,"Pit17.1",     43.5799,      3.0001
    26,"Pit18",     43.5799,      2.9990
    27,"Pit18.1",     43.5799,      2.9992
    28,"Pit19",     43.5799,      3.0001
    29,"Pit19.1",     43.5799,      3.0001
    30,"Pit2",     43.5799,      2.9991
    31,"Pit2.1",     43.5799,      2.9987
    32,"Pit3",     43.5799,      3.0001
    33,"Pit3.1",     43.5799,      2.9983
    34,"Pit4",     43.5799,      2.9984
    35,"Pit4.1",     43.5799,      2.9986
    36,"Pit5",     43.5799,      3.0000
    37,"Pit5.1",     43.5799,      2.9999
    38,"Pit6",     43.5799,      2.9988
    39,"Pit6.1",     43.5799,      2.9988
    40,"Pit7",     43.5799,      2.9999
    41,"Pit7.1",     43.5799,      2.9999
    42,"Pit8",     43.5799,      2.9999
    43,"Pit8.1",     43.5799,      2.9999
    44,"Pit9",     43.5799,      3.0001
    45,"Pit9.1",     43.5799,      3.0001
