"EG15_005 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_005.tcf]","Time (h)","H FC01.1_R.1 [EG15_005]","H FC01.1_R.2 [EG15_005]","H FC01.2_R.1 [EG15_005]","H FC01.2_R.2 [EG15_005]","H FC04.1_C.1 [EG15_005]","H FC04.1_C.2 [EG15_005]","H mh1 [EG15_005]","H mh2 [EG15_005]","H mh3 [EG15_005]","H mh4 [EG15_005]","H Pipe16.2 [EG15_005]","H Pit1 [EG15_005]","H Pit1.1 [EG15_005]","H Pit11 [EG15_005]","H Pit11.1 [EG15_005]","H Pit12 [EG15_005]","H Pit12.1 [EG15_005]","H Pit14 [EG15_005]","H Pit14.1 [EG15_005]","H Pit15 [EG15_005]","H Pit15.1 [EG15_005]","H Pit16 [EG15_005]","H Pit16.1 [EG15_005]","H Pit18 [EG15_005]","H Pit18.1 [EG15_005]","H Pit19 [EG15_005]","H Pit19.1 [EG15_005]","H Pit2 [EG15_005]","H Pit2.1 [EG15_005]","H Pit4 [EG15_005]","H Pit4.1 [EG15_005]","H Pit5 [EG15_005]","H Pit5.1 [EG15_005]","H Pit6 [EG15_005]","H Pit6.1 [EG15_005]","H Pit7 [EG15_005]","H Pit7.1 [EG15_005]","H Pit8 [EG15_005]","H Pit8.1 [EG15_005]","H Pit9 [EG15_005]","H Pit9.1 [EG15_005]"
       1,          0.000000,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     41.8484,     40.4990,     41.2645,     41.8168,     39.7990,     41.6009,     43.2445,     40.6586,     42.7759,     40.5253,     42.8113,     40.8677,     42.8596,     40.9729,     42.9892,     41.1447,     43.1357,     41.4118,     43.3220,     41.6968,     43.3397,     41.4668,     43.2164,     41.4497,     43.3075,     41.8990,     43.2767,     41.6710,     43.2528,     41.1545,     43.1470,     40.9873,     43.0050,     40.8067,     42.8642
       2,          0.016667,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     41.8484,     40.5014,     41.2645,     41.8168,     39.7997,     41.6220,     43.2445,     40.6653,     42.7759,     40.5341,     42.8113,     40.8772,     42.8596,     40.9821,     42.9892,     41.1530,     43.1357,     41.4279,     43.3230,     41.7085,     43.3397,     41.4852,     43.2164,     41.4566,     43.3075,     41.9075,     43.2776,     41.6888,     43.2528,     41.1609,     43.1470,     40.9948,     43.0050,     40.8192,     42.8642
       3,          0.033333,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     41.8484,     40.5052,     41.2645,     41.8168,     39.8038,     41.6358,     43.2479,     40.6757,     42.7759,     40.5421,     42.8113,     40.8869,     42.8600,     40.9898,     42.9892,     41.1586,     43.1357,     41.4428,     43.3224,     41.7188,     43.3397,     41.5100,     43.2186,     41.4668,     43.3075,     41.9194,     43.2777,     41.7221,     43.2528,     41.1678,     43.1470,     41.0016,     43.0050,     40.8309,     42.8642
       4,          0.050000,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     41.8484,     40.5126,     41.2645,     41.8168,     39.8079,     41.6460,     43.2445,     40.6884,     42.7769,     40.5502,     42.8124,     40.8978,     42.8602,     40.9949,     42.9913,     41.1645,     43.1384,     41.4641,     43.3238,     41.7235,     43.3397,     41.5428,     43.2183,     41.4795,     43.3075,     41.9304,     43.2767,     41.7728,     43.2552,     41.1733,     43.1484,     41.0074,     43.0050,     40.8422,     42.8664
       5,          0.066667,     45.3990,     44.4990,     37.6067,     37.4990,     43.3490,     42.7508,     41.8484,     40.5236,     41.2645,     41.8228,     39.8155,     41.6590,     43.2504,     40.7051,     42.7775,     40.5683,     42.8133,     40.9091,     42.8622,     41.0006,     42.9892,     41.1658,     43.1388,     41.4882,     43.3225,     41.7316,     43.3419,     41.5837,     43.2185,     41.4973,     43.3075,     41.9438,     43.2778,     41.8373,     43.2545,     41.1773,     43.1470,     41.0139,     43.0050,     40.8583,     42.8642
       6,          0.083333,     45.3990,     44.4990,     37.6090,     37.4990,     43.3490,     42.7685,     41.8484,     40.5354,     41.2645,     41.8370,     39.8273,     41.6632,     43.2514,     40.7217,     42.7782,     40.5944,     42.8143,     40.9168,     42.8602,     41.0052,     42.9892,     41.1700,     43.1357,     41.5213,     43.3257,     41.7401,     43.3424,     41.6412,     43.2192,     41.5207,     43.3075,     41.9553,     43.2784,     41.8938,     43.2551,     41.1832,     43.1488,     41.0205,     43.0050,     40.8805,     42.8686
       7,          0.100000,     45.3990,     44.4990,     37.6124,     37.4990,     43.3490,     42.7827,     41.8484,     40.5510,     41.2645,     41.8580,     39.8438,     41.7012,     43.2445,     40.7382,     42.7791,     40.6265,     42.8155,     40.9269,     42.8605,     41.0098,     42.9892,     41.1733,     43.1357,     41.5778,     43.3239,     41.7527,     43.3437,     41.7007,     43.2202,     41.5532,     43.3085,     41.9676,     43.2789,     41.9151,     43.2558,     41.1942,     43.1488,     41.0298,     43.0078,     40.9070,     42.8642
       8,          0.116667,     45.3990,     44.4990,     37.6160,     37.5007,     43.3490,     42.7968,     41.8484,     40.5767,     41.2645,     41.8736,     39.8709,     41.7652,     43.2489,     40.7561,     42.7810,     40.6630,     42.8148,     40.9487,     42.8628,     41.0156,     42.9892,     41.1766,     43.1357,     41.6564,     43.3241,     41.7720,     43.3423,     41.7681,     43.2215,     41.5953,     43.3090,     41.9754,     43.2793,     41.9204,     43.2562,     41.2086,     43.1491,     41.0413,     43.0050,     40.9476,     42.8698
       9,          0.133333,     45.3990,     44.4990,     37.6204,     37.5094,     43.3490,     42.8035,     41.8484,     40.6116,     41.2645,     41.8811,     39.9172,     41.8532,     43.2445,     40.7879,     42.7844,     40.6961,     42.8158,     40.9706,     42.8639,     41.0226,     42.9892,     41.1793,     43.1357,     41.7687,     43.3250,     41.7888,     43.3433,     41.8561,     43.2234,     41.6479,     43.3097,     41.9870,     43.2802,     41.9240,     43.2568,     41.2241,     43.1480,     41.0562,     43.0050,     41.0019,     42.8642
      10,          0.150000,     45.3990,     44.4990,     37.6241,     37.5289,     43.3490,     42.8057,     41.8761,     40.6528,     41.2645,     41.8899,     39.9881,     41.9637,     43.2540,     40.8302,     42.7895,     40.7471,     42.8185,     40.9945,     42.8655,     41.0305,     42.9892,     41.1819,     43.1357,     41.8895,     43.3259,     41.8913,     43.3444,     41.9654,     43.2258,     41.7155,     43.3107,     41.9969,     43.2809,     41.9395,     43.2580,     41.2369,     43.1481,     41.0823,     43.0050,     41.0835,     42.8700
      11,          0.166667,     45.3990,     44.4990,     37.6272,     37.4990,     43.3490,     42.8066,     41.9345,     40.7041,     41.2645,     41.9476,     40.0954,     42.0441,     43.2445,     40.8692,     42.7960,     40.8002,     42.8213,     41.0128,     42.8666,     41.0407,     42.9917,     41.2023,     43.1391,     41.9661,     43.3268,     41.9691,     43.3456,     42.0445,     43.2278,     41.8153,     43.3118,     42.0120,     43.2822,     41.9609,     43.2594,     41.2642,     43.1486,     41.1509,     43.0075,     41.1531,     42.8715
