"EG15_004 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_004.tcf]","Time (h)","H FC01.1_R.1 [EG15_004]","H FC01.1_R.2 [EG15_004]","H FC01.2_R.1 [EG15_004]","H FC01.2_R.2 [EG15_004]","H FC04.1_C.1 [EG15_004]","H FC04.1_C.2 [EG15_004]","H mh1 [EG15_004]","H mh2 [EG15_004]","H mh3 [EG15_004]","H mh4 [EG15_004]","H Pipe16.2 [EG15_004]","H Pit1 [EG15_004]","H Pit1.1 [EG15_004]","H Pit11 [EG15_004]","H Pit11.1 [EG15_004]","H Pit12 [EG15_004]","H Pit12.1 [EG15_004]","H Pit14 [EG15_004]","H Pit14.1 [EG15_004]","H Pit15 [EG15_004]","H Pit15.1 [EG15_004]","H Pit16 [EG15_004]","H Pit16.1 [EG15_004]","H Pit18 [EG15_004]","H Pit18.1 [EG15_004]","H Pit19 [EG15_004]","H Pit19.1 [EG15_004]","H Pit2 [EG15_004]","H Pit2.1 [EG15_004]","H Pit4 [EG15_004]","H Pit4.1 [EG15_004]","H Pit5 [EG15_004]","H Pit5.1 [EG15_004]","H Pit6 [EG15_004]","H Pit6.1 [EG15_004]","H Pit7 [EG15_004]","H Pit7.1 [EG15_004]","H Pit8 [EG15_004]","H Pit8.1 [EG15_004]","H Pit9 [EG15_004]","H Pit9.1 [EG15_004]"
       1,          0.000000,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     41.8484,     40.4990,     41.2645,     41.8168,     39.7990,     41.6009,     43.2445,     40.6586,     42.7759,     40.5253,     42.8113,     40.8677,     42.8596,     40.9729,     42.9892,     41.1447,     43.1357,     41.4118,     43.3220,     41.6968,     43.3397,     41.4668,     43.2164,     41.4497,     43.3075,     41.8990,     43.2767,     41.6710,     43.2528,     41.1545,     43.1470,     40.9873,     43.0050,     40.8067,     42.8642
       2,          0.016667,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     41.8484,     40.5014,     41.2645,     41.8168,     39.7997,     41.6219,     43.2445,     40.6653,     42.7759,     40.5341,     42.8113,     40.8772,     42.8596,     40.9823,     42.9892,     41.1528,     43.1357,     41.4279,     43.3230,     41.7085,     43.3397,     41.4852,     43.2164,     41.4566,     43.3075,     41.9075,     43.2776,     41.6888,     43.2528,     41.1608,     43.1470,     40.9950,     43.0050,     40.8192,     42.8642
       3,          0.033333,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     41.8484,     40.5053,     41.2645,     41.8168,     39.8039,     41.6357,     43.2479,     40.6755,     42.7759,     40.5423,     42.8113,     40.8872,     42.8600,     40.9898,     42.9892,     41.1582,     43.1357,     41.4428,     43.3224,     41.7188,     43.3397,     41.5101,     43.2186,     41.4668,     43.3075,     41.9194,     43.2777,     41.7221,     43.2528,     41.1676,     43.1470,     41.0018,     43.0050,     40.8309,     42.8642
       4,          0.050000,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     41.8484,     40.5125,     41.2645,     41.8168,     39.8079,     41.6460,     43.2445,     40.6885,     42.7769,     40.5507,     42.8124,     40.8978,     42.8602,     40.9949,     42.9913,     41.1643,     43.1384,     41.4641,     43.3238,     41.7235,     43.3397,     41.5429,     43.2183,     41.4795,     43.3075,     41.9304,     43.2767,     41.7728,     43.2552,     41.1731,     43.1484,     41.0075,     43.0050,     40.8422,     42.8664
       5,          0.066667,     45.3990,     44.4990,     37.6067,     37.4990,     43.3490,     42.7508,     41.8484,     40.5232,     41.2645,     41.8168,     39.8152,     41.6590,     43.2504,     40.7052,     42.7775,     40.5694,     42.8133,     40.9091,     42.8622,     41.0005,     42.9892,     41.1657,     43.1388,     41.4881,     43.3225,     41.7316,     43.3419,     41.5837,     43.2185,     41.4973,     43.3075,     41.9437,     43.2778,     41.8487,     43.2545,     41.1770,     43.1470,     41.0139,     43.0050,     40.8584,     42.8642
       6,          0.083333,     45.3990,     44.4990,     37.6090,     37.4990,     43.3490,     42.7685,     41.8484,     40.5371,     41.2645,     41.8357,     39.8275,     41.6632,     43.2514,     40.7217,     42.7782,     40.5905,     42.8143,     40.9168,     42.8602,     41.0051,     42.9892,     41.1699,     43.1357,     41.5204,     43.3257,     41.7401,     43.3424,     41.6412,     43.2192,     41.5207,     43.3075,     41.9553,     43.2784,     41.9013,     43.2551,     41.1824,     43.1488,     41.0203,     43.0050,     40.8805,     42.8686
       7,          0.100000,     45.3990,     44.4990,     37.6124,     37.4990,     43.3490,     42.7827,     41.8484,     40.5548,     41.2645,     41.8586,     39.8459,     41.7012,     43.2445,     40.7382,     42.7791,     40.6154,     42.8155,     40.9269,     42.8605,     41.0097,     42.9892,     41.1732,     43.1357,     41.5771,     43.3239,     41.7527,     43.3437,     41.7007,     43.2202,     41.5533,     43.3085,     41.9676,     43.2789,     41.9160,     43.2558,     41.1940,     43.1488,     41.0295,     43.0078,     40.9069,     42.8642
       8,          0.116667,     45.3990,     44.4990,     37.6160,     37.5007,     43.3490,     42.7968,     41.8484,     40.5798,     41.2645,     41.8728,     39.8755,     41.7652,     43.2489,     40.7561,     42.7810,     40.6493,     42.8148,     40.9487,     42.8628,     41.0155,     42.9892,     41.1766,     43.1357,     41.6560,     43.3241,     41.7720,     43.3423,     41.7681,     43.2215,     41.5954,     43.3090,     41.9754,     43.2793,     41.9251,     43.2562,     41.2087,     43.1491,     41.0412,     43.0050,     40.9474,     42.8698
       9,          0.133333,     45.3990,     44.4990,     37.6204,     37.5094,     43.3490,     42.8035,     41.8484,     40.6110,     41.2645,     41.8807,     39.9219,     41.8533,     43.2445,     40.7879,     42.7844,     40.6900,     42.8158,     40.9705,     42.8639,     41.0225,     42.9892,     41.1793,     43.1357,     41.7675,     43.3250,     41.7888,     43.3433,     41.8560,     43.2234,     41.6479,     43.3097,     41.9870,     43.2802,     41.9315,     43.2568,     41.2236,     43.1480,     41.0560,     43.0050,     41.0017,     42.8642
      10,          0.150000,     45.3990,     44.4990,     37.6241,     37.5289,     43.3490,     42.8057,     41.8725,     40.6517,     41.2645,     41.8899,     39.9912,     41.9688,     43.2540,     40.8301,     42.7895,     40.7445,     42.8185,     40.9945,     42.8655,     41.0304,     42.9892,     41.1811,     43.1357,     41.8887,     43.3259,     41.8907,     43.3444,     41.9704,     43.2258,     41.7149,     43.3107,     41.9969,     43.2809,     41.9460,     43.2580,     41.2366,     43.1481,     41.0819,     43.0050,     41.0832,     42.8700
