"EG15_006 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG15_006.tcf]","Time(h)","V FC01.1_R [EG15_006]","V FC01.2_R [EG15_006]","V FC04.1_C [EG15_006]","V Pipe0 [EG15_006]","V Pipe1 [EG15_006]","V Pipe10 [EG15_006]","V Pipe11 [EG15_006]","V Pipe12 [EG15_006]","V Pipe13 [EG15_006]","V Pipe14 [EG15_006]","V Pipe15 [EG15_006]","V Pipe16 [EG15_006]","V Pipe17 [EG15_006]","V Pipe19 [EG15_006]","V Pipe2 [EG15_006]","V Pipe3 [EG15_006]","V Pipe4 [EG15_006]","V Pipe5 [EG15_006]","V Pipe6 [EG15_006]","V Pipe7 [EG15_006]","V Pipe8 [EG15_006]","V Pipe9 [EG15_006]","V Pit1 [EG15_006]","V Pit11 [EG15_006]","V Pit12 [EG15_006]","V Pit14 [EG15_006]","V Pit15 [EG15_006]","V Pit16 [EG15_006]","V Pit18 [EG15_006]","V Pit19 [EG15_006]","V Pit2 [EG15_006]","V Pit4 [EG15_006]","V Pit5 [EG15_006]","V Pit6 [EG15_006]","V Pit7 [EG15_006]","V Pit8 [EG15_006]","V Pit9 [EG15_006]"
      46,          0.750000,    8.047,    2.362,    1.147,    0.000,   -0.003,    0.079,    0.004,    0.026,    0.002,    0.000,    0.002,    0.000,    0.001,    0.008,   -0.076,    0.010,    0.014,    0.000,    0.000,    0.208,    0.263,    0.186,    0.000,   -0.001,    0.001,    0.001,    0.000,   -0.004,    0.038,    0.138,   -0.001,    0.003,    0.006,   -0.039,   -0.056,   -0.027,   -0.011
      47,          0.766667,    8.081,    2.540,    1.145,    0.000,   -0.004,    0.063,    0.002,    0.020,    0.000,    0.000,    0.002,    0.000,    0.001,    0.005,   -0.065,    0.008,    0.011,    0.000,    0.000,    0.186,    0.222,    0.155,    0.000,    0.000,    0.001,    0.001,    0.000,   -0.002,    0.025,    0.123,   -0.001,    0.003,    0.004,   -0.034,   -0.048,   -0.022,   -0.009
      48,          0.783333,    8.100,    2.750,    1.142,    0.000,   -0.001,    0.049,    0.002,    0.014,    0.000,    0.000,    0.001,    0.000,    0.001,    0.004,   -0.056,    0.006,    0.007,    0.000,    0.000,    0.162,    0.185,    0.127,    0.000,    0.000,    0.001,    0.001,    0.000,   -0.002,    0.015,    0.106,   -0.000,    0.001,    0.003,   -0.029,   -0.040,   -0.018,   -0.006
      49,          0.800000,    8.111,    3.002,    1.139,    0.000,   -0.002,    0.038,    0.002,    0.011,    0.000,    0.000,    0.001,    0.000,    0.001,    0.002,   -0.046,    0.004,    0.006,    0.000,    0.000,    0.140,    0.151,    0.103,    0.000,    0.000,    0.001,    0.001,    0.000,   -0.001,    0.007,    0.091,   -0.001,    0.002,    0.002,   -0.024,   -0.034,   -0.014,   -0.004
      50,          0.816667,    8.120,    3.288,    1.135,    0.000,   -0.000,    0.029,    0.002,    0.007,    0.000,    0.000,    0.002,    0.000,    0.001,    0.001,   -0.037,    0.003,    0.003,    0.000,    0.000,    0.118,    0.122,    0.083,    0.000,    0.000,    0.001,    0.001,    0.000,   -0.000,    0.003,    0.076,    0.000,    0.001,    0.002,   -0.019,   -0.028,   -0.011,   -0.003
      51,          0.833333,    8.126,    3.548,    1.131,    0.000,    0.000,    0.022,    0.002,    0.005,    0.000,    0.000,    0.001,    0.000,    0.001,    0.001,   -0.030,    0.002,    0.003,    0.000,    0.000,    0.098,    0.098,    0.066,    0.000,    0.000,    0.001,    0.001,    0.000,   -0.000,    0.000,    0.063,    0.000,    0.001,    0.001,   -0.016,   -0.023,   -0.009,   -0.001
      52,          0.850000,    8.131,    3.766,    1.127,    0.000,    0.000,    0.016,    0.001,    0.003,   -0.000,    0.000,    0.001,    0.000,    0.001,    0.000,   -0.023,    0.002,    0.003,    0.000,    0.000,    0.080,    0.077,    0.053,    0.000,    0.000,    0.001,    0.001,    0.000,    0.000,   -0.002,    0.050,    0.000,    0.001,    0.001,   -0.012,   -0.019,   -0.007,   -0.001
      53,          0.866667,    8.134,    3.939,    1.122,    0.000,    0.000,    0.011,    0.001,    0.001,   -0.001,    0.000,    0.001,    0.000,    0.001,    0.000,   -0.018,    0.001,    0.000,    0.000,    0.000,    0.065,    0.060,    0.040,    0.000,    0.001,    0.001,    0.001,    0.000,    0.000,   -0.003,    0.040,    0.000,   -0.000,    0.001,   -0.009,   -0.015,   -0.005,    0.000
      54,          0.883333,    8.136,    4.081,    1.117,    0.000,    0.000,    0.007,    0.001,    0.000,   -0.001,    0.000,    0.001,    0.000,    0.001,    0.000,   -0.014,    0.000,    0.002,    0.000,    0.000,    0.052,    0.047,    0.032,    0.000,    0.001,    0.001,    0.001,    0.000,    0.000,   -0.002,    0.031,    0.000,    0.001,    0.000,   -0.007,   -0.013,   -0.003,    0.000
      55,          0.900000,    8.138,    4.200,    1.112,    0.000,    0.000,    0.005,    0.001,    0.000,   -0.001,    0.000,    0.001,    0.000,    0.001,    0.000,   -0.010,    0.002,    0.000,    0.000,    0.000,    0.040,    0.036,    0.024,    0.000,    0.001,    0.001,    0.001,    0.000,    0.000,   -0.003,    0.024,    0.000,   -0.001,    0.001,   -0.005,   -0.010,   -0.002,    0.000
      56,          0.916667,    8.139,    4.303,    1.106,    0.000,    0.000,    0.003,    0.001,    0.000,   -0.001,    0.000,    0.001,    0.000,    0.001,    0.000,   -0.007,    0.000,    0.002,    0.000,    0.000,    0.031,    0.027,    0.019,    0.000,    0.001,    0.001,    0.001,    0.000,    0.000,   -0.002,    0.018,    0.000,    0.001,    0.000,   -0.004,   -0.008,   -0.001,    0.000
      57,          0.933333,    8.141,    4.393,    1.100,    0.000,    0.000,    0.002,    0.001,    0.000,   -0.001,    0.000,    0.001,    0.000,    0.001,    0.000,   -0.005,    0.000,    0.004,    0.000,    0.000,    0.024,    0.020,    0.014,    0.000,    0.001,    0.001,    0.001,    0.000,    0.000,   -0.002,    0.014,    0.000,    0.003,    0.000,   -0.002,   -0.006,   -0.001,    0.000
      58,          0.950000,    8.141,    4.474,    1.094,    0.000,    0.000,    0.001,    0.001,    0.000,   -0.001,    0.000,    0.001,    0.000,    0.001,    0.000,   -0.003,    0.001,    0.000,    0.000,    0.000,    0.017,    0.015,    0.010,    0.000,    0.001,    0.001,    0.001,    0.000,    0.000,   -0.001,    0.010,    0.000,    0.000,    0.001,   -0.002,   -0.005,   -0.000,    0.000
      59,          0.966667,    8.141,    4.546,    1.088,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.001,    0.000,    0.001,    0.000,    0.001,    0.000,   -0.002,    0.001,    0.000,    0.000,    0.000,    0.012,    0.011,    0.007,    0.000,    0.001,    0.001,    0.001,    0.000,    0.000,   -0.001,    0.007,    0.000,   -0.001,    0.001,   -0.001,   -0.003,    0.000,    0.000
      60,          0.983333,    8.140,    4.612,    1.081,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.001,    0.000,    0.001,    0.000,    0.001,    0.000,   -0.001,    0.000,    0.000,    0.000,    0.000,    0.009,    0.008,    0.005,    0.000,    0.001,    0.001,    0.001,    0.000,    0.000,   -0.000,    0.005,    0.000,   -0.001,    0.000,   -0.000,   -0.003,    0.000,    0.000
      61,          1.000000,    8.140,    4.672,    1.075,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.001,    0.000,    0.001,    0.000,    0.001,    0.000,   -0.000,    0.000,    0.002,    0.000,    0.000,    0.007,    0.006,    0.005,    0.000,    0.001,    0.001,    0.001,    0.000,    0.000,   -0.000,    0.004,    0.000,    0.001,    0.000,   -0.000,   -0.002,    0.000,    0.000
      62,          1.016667,    8.139,    4.726,    1.067,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.001,    0.000,    0.001,    0.000,    0.001,    0.000,    0.000,   -0.001,    0.003,    0.000,    0.000,    0.005,    0.004,    0.003,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,   -0.000,    0.003,    0.000,    0.002,   -0.000,   -0.000,   -0.002,    0.000,    0.000
      63,          1.033333,    8.137,    4.777,    1.060,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.001,    0.000,    0.001,    0.000,    0.001,    0.000,    0.000,   -0.000,    0.004,    0.000,    0.000,    0.003,    0.003,    0.002,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,   -0.000,    0.002,    0.000,    0.003,    0.000,    0.000,   -0.001,    0.000,    0.000
      64,          1.050000,    8.134,    4.822,    1.053,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.001,    0.000,    0.001,    0.000,    0.001,    0.000,    0.000,   -0.000,    0.004,    0.000,    0.000,    0.002,    0.002,    0.001,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.001,    0.000,    0.003,   -0.000,    0.000,   -0.000,    0.000,    0.000
      65,          1.066667,    8.131,    4.861,    1.046,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.001,    0.000,    0.001,    0.000,    0.001,    0.000,    0.000,   -0.001,    0.005,    0.000,    0.000,    0.001,    0.002,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.001,    0.000,    0.003,   -0.000,    0.000,   -0.000,    0.000,    0.000
      66,          1.083333,    8.128,    4.892,    1.038,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.001,    0.000,    0.001,    0.000,    0.001,    0.000,    0.000,   -0.002,    0.004,    0.000,    0.000,    0.001,    0.001,    0.000,    0.000,    0.000,    0.000,    0.001,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.003,   -0.001,    0.000,    0.000,    0.000,    0.000
      67,          1.100000,    8.124,    4.913,    1.031,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.001,    0.000,    0.001,    0.000,    0.000,    0.000,    0.000,   -0.002,    0.004,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.003,   -0.001,    0.000,    0.000,    0.000,    0.000
      68,          1.116667,    8.118,    4.925,    1.023,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.001,    0.000,    0.001,    0.000,    0.000,    0.000,    0.000,   -0.001,    0.003,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.002,   -0.000,   -0.000,    0.000,    0.000,    0.000
      69,          1.133333,    8.110,    4.932,    1.016,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.001,    0.000,    0.000,    0.000,    0.000,   -0.001,    0.002,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.001,   -0.000,   -0.000,    0.000,    0.000,    0.000
      70,          1.150000,    8.101,    4.935,    1.008,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.001,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,   -0.001,    0.000,    0.000,    0.000,    0.000,    0.000
      71,          1.166667,    8.091,    4.936,    1.001,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.001,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.001,    0.000,    0.000,    0.000,    0.000,    0.000
      72,          1.183333,    8.081,    4.935,    0.993,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.002,   -0.000,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,   -0.001,    0.001,    0.000,    0.000,    0.000,    0.000
      73,          1.200000,    8.070,    4.934,    0.986,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
      74,          1.216667,    8.059,    4.933,    0.978,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.001,    0.000,    0.000,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.002,    0.000,    0.000,    0.000,    0.000,    0.000
      75,          1.233333,    8.047,    4.931,    0.971,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.001,    0.000,    0.000,    0.000,    0.000,   -0.001,    0.003,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.002,   -0.000,    0.000,    0.000,    0.000,    0.000
      76,          1.250000,    8.035,    4.930,    0.964,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.001,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.001,    0.000,    0.000,    0.000,    0.000,    0.000
      77,          1.266667,    8.022,    4.928,    0.956,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.001,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.002,   -0.000,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.001,    0.001,    0.000,    0.000,    0.000,    0.000
      78,          1.283333,    8.007,    4.927,    0.949,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.001,   -0.000,    0.000,    0.000,    0.000,    0.000
      79,          1.300000,    7.990,    4.925,    0.942,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.001,    0.000,    0.000,    0.000,    0.000,   -0.001,    0.002,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.002,   -0.000,    0.000,    0.000,    0.000,    0.000
      80,          1.316667,    7.972,    4.924,    0.936,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.001,    0.000,    0.000,    0.000,    0.000,    0.000
      81,          1.333333,    7.953,    4.922,    0.929,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000
      82,          1.350000,    7.933,    4.920,    0.923,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.001,    0.000,    0.000,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.001,   -0.000,    0.000,    0.000,    0.000,    0.000
      83,          1.366667,    7.913,    4.917,    0.916,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000
      84,          1.383333,    7.891,    4.913,    0.910,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.001,    0.000,    0.000,    0.000,    0.000
      85,          1.400000,    7.867,    4.909,    0.904,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.001,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.001,   -0.000,    0.000,    0.000,    0.000,    0.000
      86,          1.416667,    7.843,    4.903,    0.898,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.001,    0.000,    0.000,    0.000,    0.000,    0.000
      87,          1.433333,    7.816,    4.897,    0.892,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.000,    0.000,    0.001,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000
      88,          1.450000,    7.789,    4.889,    0.887,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.002,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.001,   -0.000,    0.000,    0.000,    0.000,    0.000
      89,          1.466667,    7.760,    4.880,    0.881,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,   -0.000,    0.000,    0.000,    0.000
      90,          1.483333,    7.729,    4.867,    0.876,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.001,   -0.000,    0.000,    0.000,    0.000,    0.000
      91,          1.500000,    7.696,    4.851,    0.870,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
      92,          1.516667,    7.659,    4.829,    0.865,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000
      93,          1.533333,    7.619,    4.804,    0.860,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.001,    0.000,    0.001,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.000,    0.000,    0.000
      94,          1.550000,    7.573,    4.773,    0.856,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,   -0.000,    0.000,    0.000,    0.000
      95,          1.566667,    7.517,    4.740,    0.851,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.001,   -0.000,    0.000,    0.000,    0.000,    0.000
      96,          1.583333,    7.452,    4.704,    0.846,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000
      97,          1.600000,    7.374,    4.666,    0.842,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.001,   -0.000,    0.000,    0.000,    0.000,    0.000
      98,          1.616667,    7.292,    4.625,    0.837,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000
      99,          1.633333,    7.204,    4.584,    0.833,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000
     100,          1.650000,    7.108,    4.541,    0.828,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000
     101,          1.666667,    7.005,    4.496,    0.824,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.001,   -0.000,    0.000,    0.000,    0.000,    0.000
     102,          1.683333,    6.893,    4.450,    0.820,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,   -0.000,    0.000,   -0.000,    0.000,    0.000,    0.000
     103,          1.700000,    6.771,    4.403,    0.816,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.000,    0.001,   -0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.001,   -0.000,    0.000,    0.000,    0.000,    0.000
     104,          1.716667,    6.637,    4.354,    0.812,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000
     105,          1.733333,    6.491,    4.303,    0.808,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000
     106,          1.750000,    6.332,    4.250,    0.804,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000
     107,          1.766667,    6.158,    4.196,    0.800,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.001,   -0.000,    0.000,    0.000,    0.000,    0.000
     108,          1.783333,    5.975,    4.138,    0.796,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000
     109,          1.800000,    5.783,    4.078,    0.792,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
     110,          1.816667,    5.580,    4.015,    0.789,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,   -0.000,    0.000,    0.000,    0.000,    0.000
     111,          1.833333,    5.365,    3.948,    0.785,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.001,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
     112,          1.850000,    5.140,    3.875,    0.781,    0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,   -0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
