"EG12_002 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG12_002.tcf]","Time(h)","V FC01.1_R [EG12_002]","V FC01.2_R [EG12_002]","V FC04.1_C [EG12_002]","V OC_001 [EG12_002]"
       1,          0.000000,    0.000,    0.000,    0.000,    0.000
       2,          0.016667,    0.000,    0.000,    0.000,    0.000
       3,          0.033333,    0.000,    0.000,    0.000,    0.000
       4,          0.050000,    0.000,    0.000,    0.000,    0.000
       5,          0.066667,    0.000,    0.000,    0.000,    0.000
       6,          0.083333,    0.000,    0.000,    0.000,    0.000
       7,          0.100000,    0.000,    0.000,    0.000,    0.000
       8,          0.116667,    0.000,    0.000,    0.000,    0.000
       9,          0.133333,    0.000,    0.000,    0.000,    0.000
      10,          0.150000,    0.000,    0.000,    0.000,    0.000
      11,          0.166667,    0.000,    0.000,    0.000,    0.000
      12,          0.183333,    0.000,    0.000,    0.000,    0.000
      13,          0.200000,    0.000,    0.000,    0.000,    0.000
      14,          0.216667,    1.208,    0.000,    0.000,    0.000
      15,          0.233333,    1.538,    0.000,    0.000,    0.000
      16,          0.250000,    1.708,    0.000,    0.000,    0.000
      17,          0.266667,    1.821,    0.000,    0.000,    0.000
      18,          0.283333,    1.906,    0.000,    0.000,    0.000
      19,          0.300000,    1.969,    0.000,    0.000,    0.000
      20,          0.316667,    2.052,    0.000,    0.000,    0.000
      21,          0.333333,    2.128,    0.000,    0.000,    0.000
      22,          0.350000,    2.201,    0.000,    0.000,    0.000
      23,          0.366667,    2.274,    0.000,    0.000,    0.000
      24,          0.383333,    2.360,    0.000,    0.000,    0.000
      25,          0.400000,    2.442,    0.000,    0.000,    0.000
      26,          0.416667,    2.531,    0.000,    0.000,    0.000
      27,          0.433333,    2.628,    0.000,    0.000,    0.000
      28,          0.450000,    2.736,    0.000,    0.000,    0.000
      29,          0.466667,    2.840,    0.000,    0.000,    0.000
      30,          0.483333,    2.979,    0.000,    0.000,    0.000
      31,          0.500000,    3.111,    0.000,    0.000,    0.000
      32,          0.516667,    3.240,    0.000,    0.000,    0.000
      33,          0.533333,    3.406,    0.544,    0.000,    0.000
      34,          0.550000,    3.612,    0.584,    0.000,    0.000
      35,          0.566667,    4.071,    0.629,    0.000,    0.000
      36,          0.583333,    5.313,    0.637,    0.000,    0.000
      37,          0.600000,    5.805,    0.689,    0.000,    0.000
      38,          0.616667,    6.230,    0.723,    0.000,    0.000
      39,          0.633333,    6.595,    0.789,    0.000,    0.000
      40,          0.650000,    6.920,    0.848,    0.000,    0.000
      41,          0.666667,    7.223,    1.026,    0.000,    0.000
      42,          0.683333,    7.505,    1.232,    0.000,    0.000
      43,          0.700000,    7.728,    1.436,    0.000,    0.000
      44,          0.716667,    7.880,    1.642,    0.000,    0.000
      45,          0.733333,    7.976,    1.819,    0.000,    0.000
      46,          0.750000,    8.035,    1.978,    0.000,    0.036
      47,          0.766667,    8.072,    2.143,    0.000,    0.100
      48,          0.783333,    8.093,    2.321,    0.000,    0.164
      49,          0.800000,    8.106,    2.536,    0.000,    0.227
      50,          0.816667,    8.115,    2.774,    0.000,    0.291
      51,          0.833333,    8.122,    3.023,    0.000,    0.355
      52,          0.850000,    8.127,    3.270,    0.000,    0.418
