"EG12_007 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG12_007.tcf]","Time (h)","SQ FC04.1_C [EG12_007]","SQ OC_001 [EG12_007]","SQ FC01.1_R [EG12_007]"
       1,          0.000000,      0.0000,      0.0000,      0.0000
       2,          0.016667,      0.0000,      0.0000,      0.0000
       3,          0.033333,      0.0000,      0.0000,      0.0000
       4,          0.050000,      0.0000,      0.0000,      0.0000
       5,          0.066667,      0.0000,      0.0000,      0.0000
       6,          0.083333,      0.0000,      0.0000,      0.0000
       7,          0.100000,      0.0000,      0.0000,      0.0000
       8,          0.116667,      0.0000,      0.0000,      0.0000
       9,          0.133333,      0.0000,      0.0000,      0.0000
      10,          0.150000,      0.0000,      0.0000,      0.0000
      11,          0.166667,      0.0000,      0.0000,      0.0000
      12,          0.183333,      0.0000,      0.0000,      0.0000
      13,          0.200000,      0.0000,      0.0000,      0.0000
      14,          0.216667,      0.0000,      0.0000,      0.8724
      15,          0.233333,      0.0000,      0.0000,      1.8008
      16,          0.250000,      0.0000,      0.0000,      2.4688
      17,          0.266667,      0.0000,      0.0000,      2.9900
      18,          0.283333,      0.0000,      0.0000,      3.4291
      19,          0.300000,      0.0000,      0.0000,      3.7830
      20,          0.316667,      0.0000,      0.0000,      4.2773
      21,          0.333333,      0.0000,      0.0000,      4.7758
      22,          0.350000,      0.0000,      0.0000,      5.2782
      23,          0.366667,      0.0000,      0.0000,      5.8236
      24,          0.383333,      0.0000,      0.0000,      6.5092
      25,          0.400000,      0.0000,      0.0000,      7.2117
      26,          0.416667,      0.0000,      0.0000,      8.0269
      27,          0.433333,      0.0000,      0.0000,      8.9891
      28,          0.450000,      0.0000,      0.0000,     10.1407
      29,          0.466667,      0.0000,      0.0000,     11.3503
      30,          0.483333,      0.0000,      0.0000,     13.1022
      31,          0.500000,      0.0000,      0.0000,     14.9184
      32,          0.516667,      0.0000,      0.0000,     16.8542
      33,          0.533333,      0.0000,      0.0000,     19.5766
      34,          0.550000,      0.0000,      0.0000,     23.3379
      35,          0.566667,      0.0000,      0.0000,     27.8980
      36,          0.583333,      0.0000,      0.0000,     30.9843
      37,          0.600000,      0.0000,      0.0000,     33.8573
      38,          0.616667,      0.0000,      0.0000,     36.3338
      39,          0.633333,      0.0000,      0.0000,     38.4640
      40,          0.650000,      0.0000,      0.0000,     40.3588
      41,          0.666667,      0.0000,      0.0000,     42.1247
      42,          0.683333,      0.0000,      0.0000,     43.7717
      43,          0.700000,      0.0000,      0.0000,     45.0710
      44,          0.716667,      0.0000,      0.0000,     45.9540
      45,          0.733333,      0.0000,      0.0000,     46.5134
      46,          0.750000,      0.0000,      0.0000,     46.8585
      47,          0.766667,      0.0000,      0.0000,     47.0762
      48,          0.783333,      0.0000,      0.0000,     47.1993
      49,          0.800000,      0.0000,      0.0000,     47.2742
      50,          0.816667,      0.0000,      0.0000,     47.3269
      51,          0.833333,      0.0000,      0.6075,     47.3668
      52,          0.850000,      0.0000,      3.8122,     47.3965
      53,          0.866667,      0.0000,      7.2493,     47.4152
      54,          0.883333,      0.0000,     10.8651,     47.4282
      55,          0.900000,      0.0000,     14.6206,     47.4391
      56,          0.916667,      0.0000,     18.4825,     47.4480
      57,          0.933333,      0.0000,     22.4235,     47.4562
      58,          0.950000,      0.0000,     26.4309,     47.4582
      59,          0.966667,      0.0000,     27.9209,     47.4576
      60,          0.983333,      0.0000,     28.2787,     47.4556
      61,          1.000000,      0.0000,     28.6694,     47.4529
      62,          1.016667,      0.0000,     32.8556,     47.4488
      63,          1.033333,      0.0000,     37.0799,     47.4373
      64,          1.050000,      0.0000,     41.3209,     47.4225
      65,          1.066667,      0.0000,     41.7109,     47.4060
      66,          1.083333,     -0.0001,     42.0664,     47.3885
      67,          1.100000,     -0.0001,     42.3995,     47.3677
      68,          1.116667,     -0.0002,     42.7290,     47.3297
      69,          1.133333,     -0.0296,     43.0327,     47.2847
      70,          1.150000,     -0.0620,     43.3340,     47.2316
      71,          1.166667,     -0.1007,     43.6124,     47.1764
      72,          1.183333,     -0.1464,     43.8801,     47.1184
      73,          1.200000,     -0.1969,     44.1361,     47.0545
      74,          1.216667,     -0.2514,     48.5024,     46.9880
      75,          1.233333,     -0.3081,     52.8775,     46.9189
      76,          1.250000,     -0.3534,     57.2319,     46.8477
      77,          1.266667,     -0.3884,     61.5440,     46.7727
      78,          1.283333,     -0.4167,     63.7687,     46.6841
      79,          1.300000,     -0.4356,     63.8694,     46.5867
      80,          1.316667,     -0.4532,     63.9534,     46.4820
      81,          1.333333,     -0.4687,     64.0279,     46.3722
      82,          1.350000,     -0.5769,     64.0750,     46.2572
      83,          1.366667,     -0.5874,     64.1120,     46.1361
      84,          1.383333,     -0.5533,     64.1322,     46.0078
      85,          1.400000,     -0.4762,     64.1303,     45.8722
      86,          1.416667,     -0.3493,     64.1187,     45.7281
      87,          1.433333,     -0.0895,     64.0900,     45.5735
      88,          1.450000,      0.0200,     64.0462,     45.4136
      89,          1.466667,      0.1270,     63.9910,     45.2440
