"EG12_007 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG12_007.tcf]","Time (h)","H FC01.1_R.1 [EG12_007]","H FC01.1_R.2 [EG12_007]","H FC04.1_C.1 [EG12_007]","H FC04.1_C.2 [EG12_007]","H OC_001.1 [EG12_007]","H OC_001.2 [EG12_007]"
       1,          0.000000,     45.3990,     44.4990,     43.3490,     42.7490,     40.9990,     40.9990
       2,          0.016667,     45.3990,     44.4990,     43.3490,     42.7490,     40.9990,     40.9990
       3,          0.033333,     45.3990,     44.4990,     43.3490,     42.7490,     40.9990,     40.9990
       4,          0.050000,     45.3990,     44.4990,     43.3490,     42.7490,     40.9990,     40.9990
       5,          0.066667,     45.3990,     44.4990,     43.3490,     42.7490,     40.9990,     40.9990
       6,          0.083333,     45.3990,     44.4990,     43.3490,     42.7490,     40.9990,     40.9990
       7,          0.100000,     45.3990,     44.4990,     43.3490,     42.7490,     40.9990,     40.9990
       8,          0.116667,     45.3990,     44.4990,     43.3490,     42.7490,     40.9990,     40.9990
       9,          0.133333,     45.3990,     44.4990,     43.3490,     42.7490,     40.9990,     40.9990
      10,          0.150000,     45.3990,     44.4990,     43.3490,     42.7490,     40.9990,     40.9990
      11,          0.166667,     45.3990,     44.4990,     43.3490,     42.7490,     40.9990,     40.9990
      12,          0.183333,     45.3990,     44.4990,     43.3490,     42.7490,     40.9990,     40.9990
      13,          0.200000,     45.3990,     44.4990,     43.3490,     42.7490,     40.9990,     40.9990
      14,          0.216667,     45.6237,     44.4990,     43.3490,     42.7490,     40.9990,     40.9990
      15,          0.233333,     45.7619,     44.4990,     43.3490,     42.7490,     40.9990,     40.9990
      16,          0.250000,     45.8464,     44.5575,     43.3490,     42.7490,     40.9990,     40.9990
      17,          0.266667,     45.9071,     44.6491,     43.3490,     42.7490,     40.9990,     40.9990
      18,          0.283333,     45.9555,     44.7121,     43.3490,     42.7490,     40.9990,     40.9990
      19,          0.300000,     45.9931,     44.7739,     43.3490,     42.7490,     40.9990,     40.9990
      20,          0.316667,     46.0437,     44.8294,     43.3490,     42.7490,     40.9990,     40.9990
      21,          0.333333,     46.0928,     44.8838,     43.3490,     42.7490,     40.9990,     40.9990
      22,          0.350000,     46.1405,     44.9362,     43.3490,     42.7490,     40.9990,     40.9990
      23,          0.366667,     46.1908,     44.9906,     43.3490,     42.7490,     40.9990,     40.9990
      24,          0.383333,     46.2516,     45.0556,     43.3490,     42.7490,     40.9990,     40.9990
      25,          0.400000,     46.3118,     45.1270,     43.3490,     42.7490,     40.9990,     40.9990
      26,          0.416667,     46.3793,     45.1949,     43.3490,     42.7490,     40.9990,     40.9990
      27,          0.433333,     46.4561,     45.2654,     43.3490,     42.7490,     40.9990,     40.9990
      28,          0.450000,     46.5446,     45.3376,     43.3490,     42.7490,     40.9990,     40.9990
      29,          0.466667,     46.6340,     45.4233,     43.3490,     42.7490,     40.9990,     40.9990
      30,          0.483333,     46.7579,     45.5129,     43.3490,     42.7490,     40.9990,     40.9990
      31,          0.500000,     46.8806,     45.6049,     43.3490,     42.7490,     40.9990,     40.9990
      32,          0.516667,     47.0061,     45.6978,     43.3490,     42.7490,     40.9990,     40.9990
      33,          0.533333,     47.1748,     45.8126,     43.3490,     42.7490,     40.9990,     40.9990
      34,          0.550000,     47.3955,     45.9614,     43.3490,     42.7490,     40.9990,     40.9990
      35,          0.566667,     47.6475,     46.1224,     43.3490,     42.7490,     40.9990,     40.9990
      36,          0.583333,     47.9195,     46.2529,     43.3490,     42.7490,     40.9990,     40.9990
      37,          0.600000,     48.1986,     46.3624,     43.3490,     42.7490,     40.9990,     40.9990
      38,          0.616667,     48.4590,     46.4562,     43.3490,     42.7490,     40.9990,     40.9990
      39,          0.633333,     48.6977,     46.5295,     43.3490,     42.7490,     40.9990,     40.9990
      40,          0.650000,     48.9214,     46.5914,     43.3490,     42.7490,     40.9990,     40.9990
      41,          0.666667,     49.1397,     46.6501,     43.3490,     42.7490,     40.9990,     40.9990
      42,          0.683333,     49.3516,     46.6989,     43.3490,     42.7490,     40.9990,     40.9990
      43,          0.700000,     49.5245,     46.8061,     43.3490,     42.7490,     41.1781,     40.9990
      44,          0.716667,     49.6448,     46.9560,     43.3490,     42.7490,     41.3387,     40.9990
      45,          0.733333,     49.7222,     47.0987,     43.3490,     42.7490,     41.4842,     40.9990
