"M09_5m_02p_2hr_001","Location","Flow","Water Level","Velocity"
"q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_09\Complete_Model\TUFLOW\runs\M09_5m_~e1~_~e2~_001.tcf","Time","Loc1_L","Loc1_P","Loc1_P"
"q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_09\Complete_Model\TUFLOW\results\M09_5m_02p_2hr_001_PO.csv",        0.000000,          0.0000,         39.0108,          0.0000
,        0.016667,          0.0000,         39.0108,          0.0000
,        0.033333,          0.0000,         39.0108,          0.0000
,        0.050000,          0.0000,         39.0108,          0.0000
,        0.066667,          0.0000,         39.0108,          0.0000
,        0.083333,          0.0000,         39.0108,          0.0000
,        0.100000,          0.0000,         39.0108,          0.0000
,        0.116667,          0.0000,         39.0108,          0.0000
,        0.133333,          0.0000,         39.0108,          0.0000
,        0.150000,          0.0000,         39.0108,          0.0000
,        0.166667,          0.0000,         39.0108,          0.0000
,        0.183333,          0.0000,         39.0108,          0.0000
,        0.200000,          0.0000,         39.0108,          0.0000
,        0.216667,          0.0000,         39.0108,          0.0000
,        0.233333,          0.0000,         39.0108,          0.0000
,        0.250000,          0.0000,         39.0108,          0.0000
,        0.266667,          0.0000,         39.0108,          0.0000
,        0.283333,          0.0000,         39.0108,          0.0000
,        0.300000,          0.0000,         39.0108,          0.0000
,        0.316667,          0.0000,         39.0108,          0.0000
,        0.333333,          0.0000,         39.0108,          0.0000
,        0.350000,          0.0000,         39.0108,          0.0000
,        0.366667,          0.0000,         39.0108,          0.0000
,        0.383333,          0.0000,         39.0108,          0.0000
,        0.400000,          0.0000,         39.0108,          0.0000
,        0.416667,          0.0000,         39.0108,          0.0000
,        0.433333,          0.0000,         39.0108,          0.0000
,        0.450000,          0.0000,         39.0108,          0.0000
,        0.466667,          0.0000,         39.0108,          0.0000
,        0.483333,          0.0000,         39.0108,          0.0000
,        0.500000,          0.0000,         39.0108,          0.0000
,        0.516667,          0.0000,         39.0108,          0.0000
,        0.533333,          0.0000,         39.0108,          0.0000
,        0.550000,          0.0000,         39.0108,          0.0000
,        0.566667,          0.0000,         39.0108,          0.0000
,        0.583333,          0.0000,         39.0108,          0.0000
,        0.600000,          0.0000,         39.0108,          0.0000
,        0.616667,          0.0000,         39.0108,          0.0000
,        0.633333,          0.0000,         39.0108,          0.0000
,        0.650000,          0.0000,         39.0108,          0.0000
,        0.666667,          0.0000,         39.0108,          0.0020
,        0.683333,         -0.0439,         39.0939,          0.1806
,        0.700000,         -0.0920,         39.1428,          0.1604
,        0.716667,          0.6540,         39.1925,          0.2510
,        0.733333,         25.1332,         40.8162,          1.3844
,        0.750000,         36.8198,         41.4245,          1.0927
,        0.766667,         45.7251,         41.7208,          0.9866
