"   Time (h) ","iStep     ","nRS_NaNs","nRS_HCNs","dtTarget    ","tLastMax    ","H V In      ","H V Out     ","Es HX V In  ","Es HX V Out ","x1D HX V In ","x1D HX V Out","S/RF Vol In ","S/RF Vol Out","Es SX V In  ","Es SX V Out ","x1D SX V In ","x1D SX V Out","V In-Out    ","dVol        ","V Err       ","Total V     ","Q ME (%)"
         0.000,           0,         0,         0, 0.2000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,     0.000
         0.017,          99,         0,         0,  1.477912    , 0.1666667E-01,  0.000000    , 0.2907179E-03, 0.3430062E-03,  0.000000    ,  0.000000    ,  0.000000    ,  1.125000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  1.125052    ,  1.125052    , 0.2419271E-07,  1.125052    ,     0.000
         0.033,         130,         0,         0,  2.764650    , 0.3333333E-01,  0.000000    , 0.1194849E-01, 0.1534319E-01,  0.000000    ,  0.000000    ,  0.000000    ,  3.375000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  3.378395    ,  3.378395    ,-0.7107883E-07,  4.503447    ,    -0.000
         0.050,         149,         0,         0,  4.058305    , 0.5000000E-01,  0.000000    , 0.7023044E-01, 0.2142562    ,  0.000000    ,  0.000000    ,  0.000000    ,  5.625000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  5.769026    ,  5.769026    , 0.5246839E-06,  10.27247    ,     0.000
         0.067,         163,         0,         0,  5.384925    , 0.6666667E-01,  0.000000    , 0.1772614    ,  1.079327    ,  0.000000    ,  0.000000    ,  0.000000    ,  7.875000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  8.777066    ,  8.777064    ,-0.1386739E-05,  19.04954    ,    -0.000
         0.083,         174,         0,         0,  5.650790    , 0.8333334E-01,  0.000000    , 0.2674707    ,  3.205319    ,  0.000000    ,  0.000000    ,  0.000000    ,  10.19959    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  13.13744    ,  13.13744    ,-0.3207475E-05,  32.18697    ,    -0.000
         0.100,         186,         0,         0,  5.171522    , 0.1000000    ,  0.000000    , 0.3033648    ,  5.644523    ,  0.000000    ,  0.000000    ,  0.000000    ,  15.00000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  20.34116    ,  20.34116    , 0.2689660E-05,  52.52814    ,     0.000
         0.117,         199,         0,         0,  4.754425    , 0.1166667    ,  0.000000    , 0.6106844    ,  12.84006    ,  0.000000    ,  0.000000    ,  0.000000    ,  21.00000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  33.22938    ,  33.22937    ,-0.6733462E-05,  85.75751    ,    -0.000
         0.133,         213,         0,         0,  4.377649    , 0.1333333    ,  0.000000    , 0.8051211    ,  25.10322    ,  0.000000    ,  0.000000    ,  0.000000    ,  27.00000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  51.29810    ,  51.29811    , 0.9894371E-05,  137.0556    ,     0.000
         0.150,         228,         0,         0,  4.034705    , 0.1500000    ,  0.000000    , 0.9066375    ,  43.59803    ,  0.000000    ,  0.000000    ,  0.000000    ,  33.00000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  75.69139    ,  75.69141    , 0.1129508E-04,  212.7470    ,     0.000
         0.167,         244,         0,         0,  3.757686    , 0.1666667    ,  0.000000    , 0.9273502    ,  68.61901    ,  0.000000    ,  0.000000    ,  0.000000    ,  39.00001    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  106.6917    ,  106.6916    ,-0.3635511E-04,  319.4387    ,    -0.000
         0.183,         261,         0,         0,  3.544248    , 0.1833333    ,  0.000000    , 0.9548409    ,  98.92812    ,  0.000000    ,  0.000000    ,  0.000000    ,  44.20052    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  142.1738    ,  142.1739    , 0.5957112E-04,  461.6125    ,     0.000
