"EG08_010 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG08_010.tcf]","Time (h)","Q DF01 [EG08_010]","Q PF01 [EG08_010]"
       1,          0.000000,           0.000,           0.000
       2,          0.016667,           0.000,           0.000
       3,          0.033333,           0.000,           0.000
       4,          0.050000,           0.000,           0.000
       5,          0.066667,           0.000,           0.000
       6,          0.083333,           0.000,           0.000
       7,          0.100000,           0.000,           0.000
       8,          0.116667,           0.000,           0.000
       9,          0.133333,           0.000,           0.000
      10,          0.150000,           0.000,           0.000
      11,          0.166667,           0.000,           0.000
      12,          0.183333,           0.000,           0.000
      13,          0.200000,           0.000,           0.000
      14,          0.216667,           0.000,           0.000
      15,          0.233333,           0.000,           0.000
      16,          0.250000,           0.000,           0.000
      17,          0.266667,           0.000,           0.212
      18,          0.283333,           0.000,           0.924
      19,          0.300000,           0.000,           2.193
      20,          0.316667,           0.000,           3.987
      21,          0.333333,           0.000,           6.155
      22,          0.350000,           0.000,           8.576
      23,          0.366667,           0.000,          10.693
      24,          0.383333,           0.000,          10.568
      25,          0.400000,           0.000,          10.144
      26,          0.416667,           0.000,           0.001
      27,          0.433333,           0.000,           0.000
      28,          0.450000,           0.000,           0.000
      29,          0.466667,           0.000,           0.000
      30,          0.483333,           0.052,           0.000
      31,          0.500000,           0.449,           0.000
      32,          0.516667,           1.258,           0.000
      33,          0.533333,           2.657,           0.000
      34,          0.550000,           4.864,           0.000
      35,          0.566667,           7.910,           0.000
      36,          0.583333,          11.728,           0.000
      37,          0.600000,          16.344,           0.000
      38,          0.616667,          21.384,           0.000
      39,          0.633333,          26.755,           0.000
      40,          0.650000,          32.384,           0.000
      41,          0.666667,          38.254,           0.000
      42,          0.683333,          44.238,           0.000
      43,          0.700000,          50.139,           0.000
      44,          0.716667,          55.898,           0.000
      45,          0.733333,          61.581,           0.000
      46,          0.750000,          67.097,           0.000
      47,          0.766667,          72.417,           0.000
      48,          0.783333,          77.408,           0.000
