"EG14_001 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG14_001.tcf]","Time (h)","H ds1.1 [EG14_001]","H ds1.2 [EG14_001]","H ds2.2 [EG14_001]","H ds3.2 [EG14_001]","H ds4.2 [EG14_001]","H ds5.2 [EG14_001]","H ds_weir.2 [EG14_001]","H FC01.01.1 [EG14_001]","H FC01.02.1 [EG14_001]","H FC01.03.1 [EG14_001]","H FC01.04.1 [EG14_001]","H FC01.05.1 [EG14_001]","H FC01.06.1 [EG14_001]","H FC01.07.1 [EG14_001]","H FC01.08.1 [EG14_001]","H FC01.09.1 [EG14_001]","H FC01.12.1 [EG14_001]","H FC01.12.2 [EG14_001]","H FC01.13.1 [EG14_001]","H FC01.14.1 [EG14_001]","H FC01.15.1 [EG14_001]","H FC01.16.1 [EG14_001]","H FC01.17.1 [EG14_001]","H FC01.18.1 [EG14_001]","H FC01.19.1 [EG14_001]","H FC01.1_R.1 [EG14_001]","H FC01.1_R.2 [EG14_001]","H FC01.20.1 [EG14_001]","H FC01.21.1 [EG14_001]","H FC01.22.1 [EG14_001]","H FC01.23.1 [EG14_001]","H FC01.24.1 [EG14_001]","H FC01.25.1 [EG14_001]","H FC01.26.1 [EG14_001]","H FC01.27.1 [EG14_001]","H FC01.28A.1 [EG14_001]","H FC01.28B.1 [EG14_001]","H FC01.29.1 [EG14_001]","H FC01.30.1 [EG14_001]","H FC01.31.1 [EG14_001]","H FC01.32.1 [EG14_001]","H FC01.33.1 [EG14_001]","H FC01.36.1 [EG14_001]","H FC01.37.1 [EG14_001]","H FC01.38.1 [EG14_001]","H FC01.39.1 [EG14_001]","H FC01.40.1 [EG14_001]","H FC02.01.1 [EG14_001]","H FC02.02.1 [EG14_001]","H FC02.03.1 [EG14_001]","H FC02.04.1 [EG14_001]","H FC02.05.1 [EG14_001]","H FC02.06.1 [EG14_001]"
      11,          0.166667,     35.9490,     35.8890,     35.3190,     34.2913,     33.1880,     31.2590,     32.5790,     36.0554,     36.0830,     36.1293,     36.2014,     36.2881,     36.3911,     36.4178,     36.7786,     37.4611,     38.4612,     37.6109,     38.8563,     38.8967,     38.9375,     39.0113,     39.0649,     39.0990,     39.2449,     44.3221,     43.9389,     39.5198,     39.1990,     39.8117,     39.8650,     40.2802,     40.6151,     41.0203,     41.1718,     41.5372,     41.8280,     42.2731,     42.5848,     42.8545,     43.0312,     43.6368,     44.6908,     45.2398,     45.6838,     46.7413,     49.0124,     39.9741,     40.3990,     40.7690,     40.4990,     40.4990,     43.6390
      12,          0.183333,     35.9490,     35.8890,     35.3190,     34.2913,     33.1880,     31.2590,     32.5790,     36.0554,     36.0830,     36.1293,     36.2014,     36.2881,     36.3911,     36.4178,     36.7786,     37.4611,     38.4612,     37.6109,     38.8563,     38.8967,     38.9375,     39.0113,     39.0649,     39.0990,     39.2449,     44.6460,     43.9725,     39.5198,     39.1990,     39.8117,     39.8650,     40.2802,     40.6151,     41.0203,     41.1718,     41.5372,     41.8280,     42.2731,     42.5848,     42.8545,     43.0312,     43.6376,     44.9715,     45.4017,     45.7927,     46.8123,     49.0331,     39.9741,     40.3990,     40.7690,     40.4990,     40.4990,     43.6390
      13,          0.200000,     35.9490,     35.8890,     35.3190,     34.2913,     33.1880,     31.2590,     32.5790,     36.0554,     36.0830,     36.1293,     36.2014,     36.2881,     36.3911,     36.4178,     36.7786,     37.4611,     38.4612,     37.6109,     38.8563,     38.8967,     38.9375,     39.0113,     39.0649,     39.0990,     39.2449,     44.8626,     44.3565,     39.5198,     39.1990,     39.8117,     39.8650,     40.2802,     40.6151,     41.0203,     41.1718,     41.5372,     41.8280,     42.2731,     42.5848,     42.8545,     43.0312,     43.9968,     45.2074,     45.5287,     45.8907,     46.8645,     49.0441,     39.9741,     40.3990,     40.7690,     40.4990,     40.4990,     43.6390
      14,          0.216667,     35.9490,     35.8890,     35.3190,     34.2913,     33.1880,     31.2590,     32.5790,     36.0554,     36.0830,     36.1293,     36.2014,     36.2881,     36.3911,     36.4178,     36.7786,     37.4611,     38.4612,     37.6109,     38.8563,     38.8967,     38.9375,     39.0113,     39.0649,     39.0990,     39.2449,     44.9680,     44.6168,     39.5198,     39.1990,     39.8117,     39.8650,     40.2802,     40.6151,     41.0203,     41.1718,     41.5372,     41.8280,     42.2731,     42.5848,     42.8545,     43.0312,     44.6035,     45.3657,     45.6447,     45.9732,     46.9015,     49.0592,     39.9741,     40.3990,     40.7690,     40.4990,     40.4990,     43.6390
      15,          0.233333,     35.9490,     35.8890,     35.3190,     34.2913,     33.1880,     31.2590,     32.5790,     36.0554,     36.0830,     36.1293,     36.2014,     36.2881,     36.3911,     36.4178,     36.7786,     37.4611,     38.4612,     37.6109,     38.8563,     38.8967,     38.9375,     39.0113,     39.0649,     39.0990,     39.2449,     45.0436,     44.9278,     39.5198,     39.1990,     39.8117,     39.8650,     40.2802,     40.6151,     41.0203,     41.1718,     41.5372,     41.8280,     42.2738,     42.5965,     42.9426,     43.3441,     44.8933,     45.4759,     45.7419,     46.0420,     46.9308,     49.0798,     39.9741,     40.3990,     40.7690,     40.4990,     40.4990,     43.6390
      16,          0.250000,     35.9490,     35.8890,     35.3190,     34.2913,     33.1880,     31.2590,     32.5790,     36.0554,     36.0830,     36.1293,     36.2014,     36.2881,     36.3911,     36.4178,     36.7786,     37.4611,     38.4612,     37.6109,     38.8563,     38.8967,     38.9375,     39.0113,     39.0649,     39.0990,     39.2449,     45.1019,     45.0378,     39.5198,     39.1990,     39.8117,     39.8650,     40.2802,     40.6151,     41.0203,     41.1718,     41.5391,     41.8352,     42.3593,     42.9277,     43.5022,     43.6968,     44.9934,     45.5578,     45.8188,     46.1008,     46.9580,     49.1032,     39.9741,     40.3990,     40.7690,     40.4990,     40.4990,     43.6390
      17,          0.266667,     35.9490,     35.8890,     35.3190,     34.2913,     33.1880,     31.2590,     32.5790,     36.0554,     36.0830,     36.1293,     36.2014,     36.2881,     36.3911,     36.4178,     36.7786,     37.4611,     38.4612,     37.6109,     38.8563,     38.8967,     38.9375,     39.0113,     39.0649,     39.0990,     39.2449,     45.1484,     45.0794,     39.5198,     39.1990,     39.8117,     39.8650,     40.2802,     40.6153,     41.0223,     41.1739,     41.5646,     42.0176,     42.9435,     43.3598,     43.6586,     43.8319,     45.0263,     45.6218,     45.8814,     46.1529,     46.9886,     49.1418,     39.9741,     40.3990,     40.7690,     40.4990,     40.4990,     43.6390
      18,          0.283333,     35.9490,     35.8890,     35.3190,     34.2913,     33.1880,     31.2590,     32.5790,     36.0554,     36.0830,     36.1293,     36.2014,     36.2881,     36.3911,     36.4178,     36.7786,     37.4611,     38.4612,     37.6109,     38.8563,     38.8967,     38.9375,     39.0113,     39.0649,     39.0990,     39.2449,     45.1880,     45.1070,     39.5198,     39.1990,     39.8117,     39.8661,     40.2822,     40.6171,     41.0318,     41.2705,     41.9177,     42.6407,     43.2779,     43.5022,     43.7510,     43.9098,     45.0461,     45.6757,     45.9369,     46.2041,     47.0307,     49.1881,     39.9741,     40.3990,     40.7690,     40.4990,     40.4990,     43.6390
      19,          0.300000,     35.9490,     35.8890,     35.3190,     34.2913,     33.1880,     31.2590,     32.5790,     36.0554,     36.0830,     36.1293,     36.2014,     36.2881,     36.3911,     36.4178,     36.7786,     37.4611,     38.4612,     37.6109,     38.8563,     38.8967,     38.9375,     39.0113,     39.0649,     39.0990,     39.2449,     45.2260,     45.1314,     39.5198,     39.1990,     39.8128,     39.8678,     40.2868,     40.6947,     41.3953,     41.8714,     42.4659,     42.8553,     43.3873,     43.5984,     43.8275,     43.9756,     45.0628,     45.7274,     45.9925,     46.2592,     47.0817,     49.2288,     39.9741,     40.3990,     40.7690,     40.4990,     40.4990,     43.6390
      20,          0.316667,     35.9490,     35.8890,     35.3190,     34.2913,     33.1880,     31.2590,     32.5790,     36.0554,     36.0830,     36.1293,     36.2014,     36.2881,     36.3911,     36.4178,     36.7786,     37.4611,     38.4612,     37.6109,     38.8563,     38.8967,     38.9375,     39.0113,     39.0649,     39.0990,     39.2449,     45.2662,     45.1566,     39.5198,     39.1998,     39.8213,     39.9944,     40.6886,     41.2687,     41.7771,     42.0741,     42.6097,     42.9706,     43.4708,     43.6743,     43.8930,     44.0353,     45.0796,     45.7814,     46.0515,     46.3183,     47.1359,     49.2635,     39.9741,     40.3990,     40.7690,     40.4990,     40.4990,     43.6390
      21,          0.333333,     35.9490,     35.8890,     35.3190,     34.2913,     33.1880,     31.2590,     32.5790,     36.0554,     36.0830,     36.1293,     36.2014,     36.2881,     36.3911,     36.4178,     36.7786,     37.4611,     38.4612,     37.6109,     38.8563,     38.8967,     38.9375,     39.0113,     39.0649,     39.0990,     39.2449,     45.3099,     45.1838,     39.5198,     39.3901,     40.2278,     40.4667,     40.8939,     41.4205,     41.8480,     42.1531,     42.6975,     43.0537,     43.5441,     43.7441,     43.9569,     44.0955,     45.0975,     45.8386,     46.1135,     46.3799,     47.1893,     49.2963,     40.2666,     40.3990,     40.7690,     40.4990,     40.4990,     43.6390
      22,          0.350000,     35.9490,     35.8890,     35.3190,     34.2913,     33.1880,     31.2590,     32.5790,     36.0554,     36.0830,     36.1293,     36.2014,     36.2881,     36.3911,     36.4178,     36.7786,     37.4611,     38.4612,     37.6109,     38.8563,     38.8967,     38.9375,     39.0113,     39.0650,     39.1014,     39.2748,     45.3562,     45.2129,     39.7130,     39.8807,     40.1478,     40.5636,     40.9366,     41.4853,     41.9089,     42.2158,     42.7685,     43.1264,     43.6149,     43.8132,     44.0224,     44.1581,     45.1165,     45.8976,     46.1774,     46.4439,     47.2504,     49.3587,     40.5556,     40.4631,     40.7690,     40.4990,     40.4990,     43.6390
      23,          0.366667,     35.9490,     35.8890,     35.3190,     34.2913,     33.1880,     31.2590,     32.5790,     36.0554,     36.0830,     36.1293,     36.2014,     36.2881,     36.3911,     36.4178,     36.7786,     37.4611,     38.4612,     37.6109,     38.8563,     38.8967,     38.9375,     39.0118,     39.0733,     39.1741,     39.4858,     45.4064,     45.2441,     40.0416,     40.0814,     40.2223,     40.6468,     40.9765,     41.5353,     41.9629,     42.2734,     42.8358,     43.1970,     43.6861,     43.8836,     44.0900,     44.2235,     45.1366,     45.9612,     46.2476,     46.5171,     47.3279,     49.4248,     40.6461,     40.6420,     40.7690,     40.4990,     40.4990,     43.6390
      24,          0.383333,     35.9490,     35.8890,     35.3190,     34.2913,     33.1880,     31.2590,     32.5790,     36.0554,     36.0830,     36.1293,     36.2014,     36.2881,     36.3911,     36.4178,     36.7786,     37.4611,     38.4612,     37.6109,     38.8563,     38.8967,     38.9389,     39.0348,     39.2152,     39.5166,     39.6754,     45.4655,     45.2802,     40.2133,     40.2509,     40.3350,     40.6936,     41.0168,     41.5820,     42.0158,     42.3305,     42.9034,     43.2687,     43.7605,     43.9580,     44.1631,     44.2951,     45.1595,     46.0345,     46.3284,     46.6010,     47.4128,     49.4820,     40.6932,     40.6906,     40.7690,     40.4990,     40.4990,     43.6390
      25,          0.400000,     35.9490,     35.8890,     35.3190,     34.2913,     33.1880,     31.2590,     32.5790,     36.0554,     36.0830,     36.1293,     36.2014,     36.2881,     36.3911,     36.4178,     36.7786,     37.4611,     38.4612,     37.6109,     38.8567,     38.9029,     38.9727,     39.1824,     39.6427,     39.6963,     39.7805,     45.5343,     45.3220,     40.3257,     40.3623,     40.4266,     40.7286,     41.0570,     41.6300,     42.0707,     42.3905,     42.9750,     43.3462,     43.8426,     44.0412,     44.2459,     44.3769,     45.1860,     46.1169,     46.4177,     46.6912,     47.4968,     49.5329,     40.7279,     40.7272,     40.7690,     40.4990,     40.4990,     43.6390
      26,          0.416667,     35.9490,     35.8890,     35.3190,     34.2913,     33.1880,     31.2590,     32.5790,     36.0554,     36.0830,     36.1293,     36.2014,     36.2881,     36.3911,     36.4178,     36.7786,     37.4611,     38.4620,     37.6109,     38.8613,     38.9381,     39.0961,     39.5194,     39.8537,     39.8885,     39.9289,     45.6094,     45.3682,     40.3933,     40.4325,     40.4929,     40.7701,     41.1006,     41.6824,     42.1312,     42.4571,     43.0548,     43.4329,     43.9351,     44.1344,     44.3385,     44.4682,     45.2156,     46.2034,     46.5102,     46.7828,     47.5768,     49.5812,     40.7691,     40.7677,     40.7690,     40.4990,     40.4990,     43.6390
      27,          0.433333,     35.9490,     35.8890,     35.3190,     34.2913,     33.1880,     31.2590,     32.5790,     36.0554,     36.0830,     36.1293,     36.2014,     36.2881,     36.3911,     36.4178,     36.7786,     37.4611,     38.4684,     37.6133,     38.9010,     39.0817,     39.4329,     39.7932,     40.0090,     40.0346,     40.0614,     45.6869,     45.4160,     40.4477,     40.4885,     40.5485,     40.8168,     41.1497,     41.7412,     42.1990,     42.5315,     43.1433,     43.5284,     44.0357,     44.2350,     44.4374,     44.5654,     45.2464,     46.2900,     46.6015,     46.8738,     47.6609,     49.6631,     40.8155,     40.8133,     40.8157,     40.4990,     40.4990,     43.6390
      28,          0.450000,     35.9490,     35.8890,     35.3190,     34.2913,     33.1880,     31.2590,     32.5790,     36.0554,     36.0830,     36.1293,     36.2014,     36.2881,     36.3911,     36.4178,     36.7786,     37.4611,     38.5236,     37.6231,     39.0755,     39.4707,     39.7204,     39.9576,     40.1397,     40.1612,     40.1817,     45.7679,     45.4647,     40.5079,     40.5489,     40.6081,     40.8687,     41.2040,     41.8053,     42.2721,     42.6112,     43.2366,     43.6279,     44.1392,     44.3386,     44.5389,     44.6651,     45.2777,     46.3795,     46.7002,     46.9774,     47.7756,     49.7733,     40.8675,     40.8656,     40.8645,     40.4990,     40.4990,     43.6390
      29,          0.466667,     35.9490,     35.8890,     35.3190,     34.2913,     33.1880,     31.2590,     32.5790,     36.0554,     36.0830,     36.1293,     36.2014,     36.2881,     36.3911,     36.4190,     36.7920,     37.5219,     38.7362,     37.6983,     39.4326,     39.6770,     39.8985,     40.0995,     40.2577,     40.2766,     40.2936,     45.8659,     45.5210,     40.5788,     40.6191,     40.6763,     40.9256,     41.2608,     41.8710,     42.3464,     42.6913,     43.3296,     43.7262,     44.2408,     44.4408,     44.6398,     44.7647,     45.3133,     46.4861,     46.8149,     47.0992,     47.9042,     49.8711,     40.9246,     40.9230,     40.9218,     40.4990,     40.4990,     43.6390
      30,          0.483333,     35.9490,     35.8890,     35.3190,     34.2913,     33.1880,     31.2590,     32.5790,     36.0554,     36.0830,     36.1293,     36.2014,     36.2884,     36.3942,     36.4567,     36.9028,     37.7999,     39.0532,     37.8793,     39.6016,     39.8234,     40.0320,     40.2231,     40.3706,     40.3881,     40.4031,     45.9805,     45.5862,     40.6580,     40.6972,     40.7516,     40.9866,     41.3183,     41.9359,     42.4197,     42.7704,     43.4219,     43.8243,     44.3423,     44.5449,     44.7459,     44.8715,     45.3554,     46.6058,     46.9421,     47.2290,     48.0303,     49.9602,     40.9856,     40.9841,     40.9833,     40.4990,     40.4990,     43.6390
      31,          0.500000,     35.9490,     35.8890,     35.3190,     34.2913,     33.1880,     31.2590,     32.5790,     36.0554,     36.0830,     36.1293,     36.2024,     36.3061,     36.5108,     36.6733,     37.1418,     38.2088,     39.1063,     38.2140,     39.7173,     39.9342,     40.1456,     40.3361,     40.4791,     40.4958,     40.5096,     46.1036,     45.6554,     40.7423,     40.7803,     40.8317,     41.0517,     41.3781,     42.0025,     42.4958,     42.8528,     43.5196,     43.9280,     44.4494,     44.6556,     44.8602,     44.9875,     45.4012,     46.7298,     47.0702,     47.3586,     48.1499,     50.0453,     41.0506,     41.0490,     41.0484,     40.4990,     40.4990,     43.6390
      32,          0.516667,     35.9490,     35.8890,     35.3190,     34.2913,     33.1880,     31.2590,     32.5790,     36.0554,     36.0831,     36.1317,     36.2406,     36.4786,     36.9094,     37.0085,     37.4112,     38.4155,     39.0919,     38.4200,     39.8291,     40.0378,     40.2500,     40.4424,     40.5841,     40.6005,     40.6136,     46.2330,     45.7258,     40.8305,     40.8676,     40.9166,     41.1229,     41.4437,     42.0746,     42.5785,     42.9429,     43.6267,     44.0421,     44.5648,     44.7740,     44.9816,     45.1103,     45.4485,     46.8545,     47.2012,     47.4989,     48.3187,     50.2911,     41.1217,     41.1199,     41.1194,     40.4990,     40.4990,     43.6390
      33,          0.533333,     35.9490,     35.8890,     35.3190,     34.2913,     33.1880,     31.2590,     32.5790,     36.0562,     36.0940,     36.1864,     36.4585,     36.9557,     37.2700,     37.3181,     37.5556,     38.5078,     39.1517,     38.5124,     39.9172,     40.1324,     40.3497,     40.5462,     40.6882,     40.7046,     40.7173,     46.4077,     45.8124,     40.9235,     40.9601,     41.0073,     41.2018,     41.5166,     42.1538,     42.6686,     43.0407,     43.7427,     44.1639,     44.6845,     44.8980,     45.1108,     45.2422,     45.5054,     47.0136,     47.3813,     47.7052,     48.5810,     50.5574,     41.2005,     41.1987,     41.1983,     40.4990,     40.4990,     43.6390
      34,          0.550000,     35.9534,     35.8893,     35.3190,     34.2913,     33.1880,     31.2590,     32.5790,     36.1071,     36.2532,     36.4756,     37.0094,     37.3298,     37.4982,     37.5302,     37.6992,     38.5850,     39.2164,     38.5898,     39.9909,     40.2183,     40.4454,     40.6496,     40.7940,     40.8106,     40.8232,     46.6610,     45.9337,     41.0225,     41.0589,     41.1048,     41.2892,     41.5983,     42.2419,     42.7688,     43.1509,     43.8762,     44.3028,     44.8227,     45.0447,     45.2692,     45.4069,     45.5881,     47.2295,     47.6139,     47.9560,     48.8474,     50.7864,     41.2877,     41.2857,     41.2854,     40.4990,     40.4990,     43.6390
      35,          0.566667,     36.1888,     35.9437,     35.3216,     34.2915,     33.1880,     31.2590,     32.5790,     36.6603,     36.6877,     36.7806,     37.3041,     37.5671,     37.7002,     37.7249,     37.8518,     38.6568,     39.2824,     38.6617,     40.0671,     40.3040,     40.5415,     40.7551,     40.9038,     40.9210,     40.9337,     46.9946,     46.0717,     41.1303,     41.1673,     41.2130,     41.3904,     41.6977,     42.3514,     42.8941,     43.2899,     44.0443,     44.4730,     44.9844,     45.2203,     45.4564,     45.5990,     45.7032,     47.4699,     47.8594,     48.2093,     49.0915,     50.9966,     41.3883,     41.3857,     41.3854,     40.4990,     40.4990,     43.6390
      36,          0.583333,     36.6643,     36.2187,     35.4246,     34.3046,     33.1895,     31.2590,     32.5790,     36.9979,     37.0197,     37.0698,     37.4834,     37.7533,     37.8791,     37.9010,     38.0056,     38.7320,     39.3491,     38.7370,     40.1524,     40.3947,     40.6427,     40.8683,     41.0238,     41.0418,     41.0550,     47.4692,     46.2060,     41.2531,     41.2911,     41.3366,     41.5084,     41.8111,     42.4699,     43.0227,     43.4263,     44.1953,     44.6105,     45.0892,     45.3649,     45.6224,     45.7715,     45.8425,     47.7373,     48.0992,     48.4474,     49.3140,     51.1872,     41.5073,     41.5060,     41.5061,     40.4990,     40.4990,     43.6390
