"   Time (h) ","iStep     ","nRS_NaNs","nRS_HCNs","dtTarget    ","tLastMax    ","H V In      ","H V Out     ","Es HX V In  ","Es HX V Out ","x1D HX V In ","x1D HX V Out","S/RF Vol In ","S/RF Vol Out","Es SX V In  ","Es SX V Out ","x1D SX V In ","x1D SX V Out","V In-Out    ","dVol        ","V Err       ","Total V     ","Q ME (%)"
         0.000,           0,         0,         0, 0.1000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  269.3568    ,     0.000
         0.017,         129,         0,         0,  1.354679    , 0.1666667E-01,  0.000000    ,  38.67484    , 0.1274025    ,  0.000000    ,  0.000000    ,  0.000000    ,  18.72840    ,  0.000000    ,  0.000000    , 0.2119161    ,  0.000000    ,  0.000000    , -20.03096    , -20.03096    ,-0.8840367E-06,  249.3258    ,    -0.000
         0.033,         163,         0,         0,  2.000000    , 0.3333334E-01,  0.000000    ,  26.18404    ,  3.356756    ,  0.000000    ,  0.000000    ,  0.000000    ,  18.72840    ,  0.000000    ,  0.000000    , 0.2651328    ,  0.000000    ,  0.000000    , -4.364017    , -4.364044    ,-0.2714146E-04,  244.9618    ,    -0.000
         0.050,         193,         0,         0,  2.000000    , 0.5000000E-01,  0.000000    ,  20.88576    ,  6.904622    ,  0.000000    ,  0.000000    ,  0.000000    ,  206.4710    ,  0.000000    , 0.5525501    ,  1.470521    ,  0.000000    ,  0.000000    ,  191.5719    ,  191.5722    , 0.3025988E-03,  436.5340    ,     0.000
         0.067,         223,         0,         0,  2.000000    , 0.6666667E-01,  0.000000    ,  17.45665    ,  15.58922    ,  0.000000    ,  0.000000    ,  0.000000    ,  397.6024    ,  0.000000    , 0.7606535    ,  2.652196    ,  0.000000    ,  0.000000    ,  393.8435    ,  393.8426    ,-0.8937496E-03,  830.3765    ,    -0.000
         0.083,         253,         0,         0,  2.000000    , 0.8333334E-01,  0.000000    ,  15.00848    ,  27.39766    , 0.3785091E-01,  0.000000    ,  0.000000    ,  402.1252    ,  0.000000    ,  14.50282    ,  17.30357    ,  0.000000    ,  0.000000    ,  411.6758    ,  411.6757    ,-0.1053877E-03,  1242.052    ,    -0.000
         0.100,         284,         0,         0,  2.000000    , 0.1000000    ,  0.000000    ,  13.34813    ,  41.94965    , 0.1290935    ,  0.000000    ,  0.000000    ,  533.2894    ,  0.000000    ,  1.602246    ,  6.275583    ,  0.000000    ,  0.000000    ,  557.0885    ,  557.0894    , 0.8280728E-03,  1799.142    ,     0.000
         0.117,         314,         0,         0,  2.000000    , 0.1166667    ,  0.000000    ,  12.44177    ,  65.46689    , 0.1385569    ,  0.000000    ,  0.000000    ,  533.2893    ,  0.000000    ,  1.908320    ,  9.011176    ,  0.000000    ,  0.000000    ,  579.0730    ,  579.0747    , 0.1662511E-02,  2378.216    ,     0.000
         0.133,         345,         0,         0,  1.938537    , 0.1333333    ,  0.000000    ,  11.87418    ,  94.43690    , 0.1475326    ,  0.000000    ,  0.000000    ,  533.2894    ,  0.000000    ,  2.434628    ,  12.64120    ,  0.000000    ,  0.000000    ,  605.4980    ,  605.4983    , 0.3279700E-03,  2983.715    ,     0.000
         0.150,         378,         0,         0,  1.794773    , 0.1500000    ,  0.000000    ,  11.56416    ,  125.4561    , 0.1546974    ,  0.000000    ,  0.000000    ,  533.2893    ,  0.000000    ,  3.676361    ,  17.83832    ,  0.000000    ,  0.000000    ,  632.8646    ,  632.8652    , 0.6422772E-03,  3616.580    ,     0.000
         0.167,         414,         0,         0,  1.687775    , 0.1666667    ,  0.000000    ,  11.61027    ,  156.6190    , 0.1608783    ,  0.000000    ,  0.000000    ,  533.2892    ,  0.000000    ,  4.760846    ,  22.90522    ,  0.000000    ,  0.000000    ,  659.9927    ,  659.9934    , 0.7356478E-03,  4276.573    ,     0.000
         0.183,         454,         0,         0,  1.462571    , 0.1833333    ,  0.000000    ,  11.82446    ,  184.5391    , 0.1767232    ,  0.000000    ,  0.000000    ,  602.2495    ,  0.000000    ,  5.790460    ,  28.07064    ,  0.000000    ,  0.000000    ,  752.5073    ,  752.5059    ,-0.1420213E-02,  5029.079    ,    -0.000
         0.200,         499,         0,         0,  1.306135    , 0.2000000    ,  0.000000    ,  12.38759    ,  205.2371    , 0.1845072    ,  0.000000    ,  0.000000    ,  604.2196    ,  0.000000    ,  19.30824    ,  46.07513    ,  0.000000    ,  0.000000    ,  770.1177    ,  770.1182    , 0.4306009E-03,  5799.197    ,     0.000
         0.217,         547,         0,         0,  1.235464    , 0.2166667    ,  0.000000    ,  13.18069    ,  222.6964    , 0.1873001    ,  0.000000    ,  0.000000    ,  604.2196    ,  0.000000    ,  71.93830    ,  103.6446    ,  0.000000    ,  0.000000    ,  781.8418    ,  781.8403    ,-0.1451874E-02,  6581.038    ,    -0.000
